Player,Action,,Proj Value,Avg Cost,Percent Drafted
Adrian Peterson,The add action is disabled,Add to Watch List,$64 ,$76.30 ,100%
(Min - RB),,,,,
New Player Note,,,,,
Arian Foster,The add action is disabled,Add to Watch List,$56 ,$62.20 ,100%
(Hou - RB),,,,,
Player Note,,,,,
Doug Martin,The add action is disabled,Add to Watch List,$55 ,$58.90 ,100%
(TB - RB),,,,,
No new player Notes,,,,,
C.J. Spiller,The add action is disabled,Add to Watch List,$55 ,$54.90 ,100%
(Buf - RB),,,,,
No new player Notes,,,,,
Calvin Johnson,The add action is disabled,Add to Watch List,$55 ,$59.60 ,100%
(Det - WR),,,,,
No new player Notes,,,,,
Jamaal Charles,The add action is disabled,Add to Watch List,$54 ,$54.10 ,100%
(KC - RB),,,,,
No new player Notes,,,,,
Marshawn Lynch,The add action is disabled,Add to Watch List,$53 ,$54.30 ,100%
(Sea - RB),,,,,
No new player Notes,,,,,
Ray Rice,The add action is disabled,Add to Watch List,$52 ,$50.40 ,100%
(Bal - RB),,,,,
No new player Notes,,,,,
LeSean McCoy,The add action is disabled,Add to Watch List,$52 ,$48.00 ,100%
(Phi - RB),,,,,
No new player Notes,,,,,
Aaron Rodgers,The add action is disabled,Add to Watch List,$40 ,$42.30 ,100%
(GB - QB),,,,,
No new player Notes,,,,,
Alfred Morris,The add action is disabled,Add to Watch List,$47 ,$44.50 ,100%
(Was - RB),,,,,
No new player Notes,,,,,
Trent Richardson,The add action is disabled,Add to Watch List,$50 ,$43.90 ,100%
(Cle - RB),,,,,
Player Note,,,,,
A.J. Green,The add action is disabled,Add to Watch List,$45 ,$47.90 ,100%
(Cin - WR),,,,,
No new player Notes,,,,,
Dez Bryant,The add action is disabled,Add to Watch List,$45 ,$45.90 ,100%
(Dal - WR),,,,,
No new player Notes,,,,,
Brandon Marshall,The add action is disabled,Add to Watch List,$40 ,$41.00 ,100%
(Chi - WR),,,,,
No new player Notes,,,,,
Julio Jones,The add action is disabled,Add to Watch List,$38 ,$39.20 ,100%
(Atl - WR),,,,,
Player Note,,,,,
Drew Brees,The add action is disabled,Add to Watch List,$38 ,$36.40 ,100%
(NO - QB),,,,,
No new player Notes,,,,,
Jimmy Graham,The add action is disabled,Add to Watch List,$38 ,$36.90 ,100%
(NO - TE),,,,,
No new player Notes,,,,,
Matt Forte,The add action is disabled,Add to Watch List,$38 ,$29.80 ,100%
(Chi - RB),,,,,
No new player Notes,,,,,
Demaryius Thomas,The add action is disabled,Add to Watch List,$36 ,$34.20 ,100%
(Den - WR),,,,,
No new player Notes,,,,,
Larry Fitzgerald,The add action is disabled,Add to Watch List,$36 ,$33.70 ,100%
(Ari - WR),,,,,
No new player Notes,,,,,
