Name,,Proj Value,Avg Cost,Percent Drafted,
?,No new player Notes,?,$57 ,$62.00 ,100%
,Jamaal Charles KC - RB,,,,
,Sun 10:00 am vs Ten,,,,
?,No new player Notes,?,$57 ,$64.40 ,100%
,LeSean McCoy Phi - RB,,,,
,Sun 10:00 am vs Jax,,,,
?,No new player Notes,?,$55 ,$62.90 ,100%
,Adrian Peterson Min - RB,,,,
,Sun 10:00 am @ StL,,,,
?,No new player Notes,?,$55 ,$58.00 ,100%
,Eddie Lacy GB - RB,,,,
,Thu 5:30 pm @ Sea,,,,
?,No new player Notes,?,$55 ,$58.10 ,100%
,Marshawn Lynch Sea - RB,,,,
,Thu 5:30 pm vs GB,,,,
?,No new player Notes,?,$53 ,$59.40 ,100%
,Calvin Johnson Det - WR,,,,
,Mon 4:10 pm vs NYG,,,,
?,No new player Notes,?,$54 ,$54.40 ,100%
,Matt Forte Chi - RB,,,,
,Sun 10:00 am vs Buf,,,,
?,Player Note,?,$52 ,$54.90 ,100%
,Jimmy Graham NO - TE,,,,
,Sun 10:00 am @ Atl,,,,
?,Player Note,?,$52 ,$49.60 ,100%
,Montee Ball Den - RB,,,,
,Sun 5:30 pm vs Ind,,,,
?,Player Note,?,$50 ,$51.50 ,100%
,Demaryius Thomas Den - WR,,,,
,Sun 5:30 pm vs Ind,,,,
?,Player Note,?,$38 ,$43.50 ,100%
,Peyton Manning Den - QB,,,,
,Sun 5:30 pm vs Ind,,,,
?,No new player Notes,?,$47 ,$50.60 ,100%
,A.J. Green Cin - WR,,,,
,Sun 10:00 am @ Bal,,,,
?,New Player Note,?,$45 ,$48.30 ,100%
,Dez Bryant Dal - WR,,,,
,Sun 1:25 pm vs SF,,,,
?,No new player Notes,?,$45 ,$41.90 ,100%
,Le'Veon Bell Pit - RB,,,,
,Sun 10:00 am vs Cle,,,,
?,No new player Notes,?,$40 ,$42.20 ,100%
,Brandon Marshall Chi - WR,,,,
,Sun 10:00 am vs Buf,,,,
?,Player Note,?,$40 ,$33.60 ,100%
,Doug Martin TB - RB,,,,
,Sun 1:25 pm vs Car,,,,
?,No new player Notes,?,$36 ,$36.60 ,100%
,Drew Brees NO - QB,,,,
,Sun 10:00 am @ Atl,,,,
?,No new player Notes,?,$38 ,$34.20 ,100%
,Zac Stacy StL - RB,,,,
,Sun 10:00 am vs Min,,,,
?,New Player Note,?,$38 ,$38.00 ,100%
,Julio Jones Atl - WR,,,,
,Out,,,,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$36 ,$36.30 ,100%
,Aaron Rodgers GB - QB,,,,
,Thu 5:30 pm @ Sea,,,,
?,No new player Notes,?,$36 ,$34.90 ,100%
,Alshon Jeffery Chi - WR,,,,
,Sun 10:00 am vs Buf,,,,
?,No new player Notes,?,$38 ,$31.20 ,100%
,DeMarco Murray Dal - RB,,,,
,Sun 1:25 pm vs SF,,,,
?,No new player Notes,?,$38 ,$29.60 ,100%
,Giovani Bernard Cin - RB,,,,
,Sun 10:00 am @ Bal,,,,
?,New Player Note,?,$36 ,$30.30 ,100%
,Arian Foster Hou - RB,,,,
,Sun 10:00 am vs Was,,,,
?,Player Note,?,$36 ,$31.80 ,100%
,Jordy Nelson GB - WR,,,,
,Thu 5:30 pm @ Sea,,,,
?,No new player Notes,?,$36 ,$29.70 ,100%
,Antonio Brown Pit - WR,,,,
