"name","year","week","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"AARONHERNANDEZ",2011,1,NA,NA,NA,NA,NA,7,103,1
"AARONRODGERS",2011,1,312,3,0,NA,NA,NA,NA,NA
"ADRIANPETERSON",2011,1,NA,NA,NA,98,0,2,6,0
"AHMADBRADSHAW",2011,1,NA,NA,NA,44,1,1,10,0
"AJGREEN",2011,1,NA,NA,NA,NA,NA,1,41,1
"ALEXSMITH",2011,1,124,0,0,22,1,NA,NA,NA
"ANDREJOHNSON",2011,1,NA,NA,NA,NA,NA,7,95,1
"ANDREROBERTS",2011,1,NA,NA,NA,NA,NA,2,21,0
"ANDYDALTON",2011,1,81,1,0,NA,NA,NA,NA,NA
"ANQUANBOLDIN",2011,1,NA,NA,NA,NA,NA,4,74,1
"ANTHONYARMSTRONG",2011,1,NA,NA,NA,NA,NA,2,24,1
"ANTHONYFASANO",2011,1,NA,NA,NA,NA,NA,5,82,0
"ANTHONYMCCOY",2011,1,NA,NA,NA,NA,NA,2,12,0
"ANTHONYSHERMAN",2011,1,NA,NA,NA,NA,NA,1,6,0
"ANTONIOBROWN",2011,1,NA,NA,NA,NA,NA,2,14,0
"ANTONIOGATES",2011,1,NA,NA,NA,NA,NA,8,74,0
"ARRELIOUSBENN",2011,1,NA,NA,NA,NA,NA,4,27,0
"BEANIEWELLS",2011,1,NA,NA,NA,90,1,4,12,0
"BENJARVUSGREENELLIS",2011,1,NA,NA,NA,34,1,NA,NA,NA
"BENOBOMANU",2011,1,NA,NA,NA,13,0,2,12,0
"BENROETHLISBERGER",2011,1,280,1,3,9,0,NA,NA,NA
"BENTATE",2011,1,NA,NA,NA,116,1,NA,NA,NA
"BENWATSON",2011,1,NA,NA,NA,NA,NA,3,45,1
"BERNARDSCOTT",2011,1,NA,NA,NA,3,0,NA,NA,NA
"BILLYBAJEMA",2011,1,NA,NA,NA,NA,NA,2,21,0
"BRADSMITH",2011,1,NA,NA,NA,6,0,NA,NA,NA
"BRANDONGIBSON",2011,1,NA,NA,NA,NA,NA,3,50,0
"BRANDONJACOBS",2011,1,NA,NA,NA,29,0,NA,NA,NA
"BRANDONLAFELL",2011,1,NA,NA,NA,NA,NA,4,70,0
"BRANDONLLOYD",2011,1,NA,NA,NA,NA,NA,6,89,0
"BRANDONMARSHALL",2011,1,NA,NA,NA,NA,NA,7,139,0
"BRANDONMYERS",2011,1,NA,NA,NA,NA,NA,2,10,0
"BRANDONPETTIGREW",2011,1,NA,NA,NA,NA,NA,4,57,0
"BRAYLONEDWARDS",2011,1,NA,NA,NA,NA,NA,3,27,0
"BRENTCELEK",2011,1,NA,NA,NA,NA,NA,1,13,0
"BRIANHARTLINE",2011,1,NA,NA,NA,NA,NA,4,47,1
"BRIANLEONARD",2011,1,NA,NA,NA,15,0,2,29,0
"BRITMILLER",2011,1,NA,NA,NA,12,0,NA,NA,NA
"BRUCEGRADKOWSKI",2011,1,92,1,0,NA,NA,NA,NA,NA
"BRYANWALTERS",2011,1,NA,NA,NA,NA,NA,2,21,0
"CADILLACWILLIAMS",2011,1,NA,NA,NA,91,0,5,49,0
"CALVINJOHNSON",2011,1,NA,NA,NA,NA,NA,6,88,2
"CAMNEWTON",2011,1,422,2,1,18,1,NA,NA,NA
"CEDRICBENSON",2011,1,NA,NA,NA,121,1,NA,NA,NA
"CHADHENNE",2011,1,416,2,1,59,1,NA,NA,NA
"CHADJOHNSON",2011,1,NA,NA,NA,NA,NA,1,14,0
"CHRISCOOLEY",2011,1,NA,NA,NA,NA,NA,2,21,0
"CHRISJOHNSON",2011,1,NA,NA,NA,24,0,6,25,0
"CJSPILLER",2011,1,NA,NA,NA,16,1,NA,NA,NA
"COLTMCCOY",2011,1,213,2,1,11,0,NA,NA,NA
"DALLASCLARK",2011,1,NA,NA,NA,NA,NA,4,39,0
"DANESANZENBACHER",2011,1,NA,NA,NA,NA,NA,1,6,0
"DANIELFELLS",2011,1,NA,NA,NA,NA,NA,3,32,0
"DANNYAMENDOLA",2011,1,NA,NA,NA,NA,NA,5,45,0
"DANNYWOODHEAD",2011,1,NA,NA,NA,69,0,1,6,0
"DARRENMCFADDEN",2011,1,NA,NA,NA,150,0,1,6,0
"DARRENSPROLES",2011,1,NA,NA,NA,7,0,7,75,0
"DARRIUSHEYWARDBEY",2011,1,NA,NA,NA,NA,NA,4,44,0
"DAVIDNELSON",2011,1,NA,NA,NA,NA,NA,4,66,0
"DAVONEBESS",2011,1,NA,NA,NA,NA,NA,5,92,0
"DEANGELOWILLIAMS",2011,1,NA,NA,NA,30,0,1,6,0
"DEIONBRANCH",2011,1,NA,NA,NA,NA,NA,7,93,0
"DEJIKARIM",2011,1,NA,NA,NA,33,0,3,39,0
"DELONECARTER",2011,1,NA,NA,NA,25,0,NA,NA,NA
"DEMARCOMURRAY",2011,1,NA,NA,NA,NA,NA,1,13,0
"DENNISPITTA",2011,1,NA,NA,NA,NA,NA,2,45,0
"DERRICKMASON",2011,1,NA,NA,NA,NA,NA,3,19,0
"DERRICKWARD",2011,1,NA,NA,NA,39,1,NA,NA,NA
"DESEANJACKSON",2011,1,NA,NA,NA,NA,NA,6,102,1
"DEVERYHENDERSON",2011,1,NA,NA,NA,NA,NA,6,100,1
"DEVINHESTER",2011,1,NA,NA,NA,NA,NA,3,60,0
"DEXTERMCCLUSTER",2011,1,NA,NA,NA,42,0,5,25,0
"DEZBRYANT",2011,1,NA,NA,NA,NA,NA,3,71,1
"DEZMONBRISCOE",2011,1,NA,NA,NA,NA,NA,2,14,0
"DIONLEWIS",2011,1,NA,NA,NA,10,0,NA,NA,NA
"DOMENIKHIXON",2011,1,NA,NA,NA,NA,NA,2,21,0
"DONALDDRIVER",2011,1,NA,NA,NA,NA,NA,4,41,0
"DONOVANMCNABB",2011,1,39,1,1,32,0,NA,NA,NA
"DOUGBALDWIN",2011,1,NA,NA,NA,NA,NA,4,83,1
"DREWBREES",2011,1,419,3,0,3,0,NA,NA,NA
"DUSTINKELLER",2011,1,NA,NA,NA,NA,NA,5,61,1
"DWAYNEBOWE",2011,1,NA,NA,NA,NA,NA,2,17,0
"EARLBENNETT",2011,1,NA,NA,NA,NA,NA,2,11,0
"EARLYDOUCET",2011,1,NA,NA,NA,NA,NA,3,105,1
"EARNESTGRAHAM",2011,1,NA,NA,NA,13,0,8,58,0
"EDDICKSON",2011,1,NA,NA,NA,NA,NA,5,59,1
"EDDIEROYAL",2011,1,NA,NA,NA,NA,NA,2,33,0
"ELIMANNING",2011,1,268,0,1,NA,NA,NA,NA,NA
"EMMANUELSANDERS",2011,1,NA,NA,NA,NA,NA,2,20,1
"ERICDECKER",2011,1,NA,NA,NA,NA,NA,3,53,0
"EVANMOORE",2011,1,NA,NA,NA,NA,NA,3,35,1
"FELIXJONES",2011,1,NA,NA,NA,44,1,3,22,0
"FRANKGORE",2011,1,NA,NA,NA,59,0,3,19,0
"FREDDAVIS",2011,1,NA,NA,NA,NA,NA,5,105,0
"FREDJACKSON",2011,1,NA,NA,NA,112,0,1,5,0
"GOLDENTATE",2011,1,NA,NA,NA,NA,NA,1,8,1
"GREGJENNINGS",2011,1,NA,NA,NA,NA,NA,7,89,1
"GREGJONES",2011,1,NA,NA,NA,6,0,NA,NA,NA
"GREGLITTLE",2011,1,NA,NA,NA,NA,NA,1,12,0
"GREGOLSEN",2011,1,NA,NA,NA,NA,NA,4,78,0
"GREGSALAS",2011,1,NA,NA,NA,NA,NA,1,21,0
"HAKEEMNICKS",2011,1,NA,NA,NA,NA,NA,7,122,0
"HARRYDOUGLAS",2011,1,NA,NA,NA,NA,NA,2,10,0
"HEATHMILLER",2011,1,NA,NA,NA,NA,NA,3,42,0
"HINESWARD",2011,1,NA,NA,NA,NA,NA,5,67,0
"ISAACREDMAN",2011,1,NA,NA,NA,12,0,NA,NA,NA
"JABARGAFFNEY",2011,1,NA,NA,NA,NA,NA,3,54,1
"JACKIEBATTLE",2011,1,NA,NA,NA,7,0,NA,NA,NA
"JACOBHESTER",2011,1,NA,NA,NA,NA,NA,3,13,0
"JACOBYFORD",2011,1,NA,NA,NA,NA,NA,3,22,0
"JACOBYJONES",2011,1,NA,NA,NA,NA,NA,3,43,0
