"name","player","team","rank","risk"
"STEPHENGOSTKOWSKI","Stephen Gostkowski","NE",1.5,1
"JUSTINTUCKER","Justin Tucker","BAL",3.4,1.9
"STEVENHAUSCHKA","Steven Hauschka","SEA",4,2.6
"PHILDAWSON","Phil Dawson","SF",5,2.5
"DANBAILEY","Dan Bailey","DAL",5.7,2.1
"MASONCROSBY","Mason Crosby","GB",6.4,3
"MATTBRYANT","Matt Bryant","ATL",8.5,3.1
"BLAIRWALSH","Blair Walsh","MIN",8.9,3.6
"NICKNOVAK","Nick Novak","SD",9.6,2.8
"ADAMVINATIERI","Adam Vinatieri","IND",9.7,2.5
"ROBBIEGOULD","Robbie Gould","CHI",10.4,2.9
"SHAYNEGRAHAM","Shayne Graham","NO",12.9,5.7
"GREGZUERLEIN","Greg Zuerlein","STL",13.5,2.7
"MATTPRATER","Matt Prater","DEN",14.7,8.9
"ALEXHENERY","Alex Henery","PHI",15.2,5.9
"CODYPARKEY","Cody Parkey","PHI",15.7,6.1
"NATEFREESE","Nate Freese","DET",16.3,5.1
"SEBASTIANJANIKOWSKI","Sebastian Janikowski","OAK",16.9,4.2
"GRAHAMGANO","Graham Gano","CAR",18,3.6
"NICKFOLK","Nick Folk","NYJ",18.6,4.3
"SHAUNSUISHAM","Shaun Suisham","PIT",18.8,3.7
"KAIFORBATH","Kai Forbath","WAS",19.9,4.6
"CALEBSTURGIS","Caleb Sturgis","MIA",19.9,4.5
"RYANSUCCOP","Ryan Succop","KC",20,4.8
"MIKENUGENT","Mike Nugent","CIN",20.3,4.5
"DANCARPENTER","Dan Carpenter","BUF",20.5,5.3
"CHANDLERCATANZARO","Chandler Catanzaro","ARI",22.8,4.3
"JOSHBROWN","Josh Brown","NYG",23,5.1
"CAIROSANTOS","Cairo Santos","KC",24.1,5
"JOSHSCOBEE","Josh Scobee","JAC",25.4,5.5
"RANDYBULLOCK","Randy Bullock","HOU",26.3,4.2
"BILLYCUNDIFF","Billy Cundiff","CLE",26.5,4.4
"PATRICKMURRAY","Patrick Murray","TB",27.8,3.7
"CONNORBARTH","Connor Barth","TB",28.6,5.6
"BRANDONMCMANUS","Brandon McManus","DEN",29.2,7.3
"JAYFEELY","Jay Feely","ARI",29.3,5.8
"MAIKONBONANI","Maikon Bonani","TEN",30.2,4.9
"TRAVISCOONS","Travis Coons","TEN",33.7,2.5
"ZACHHOCKER","Zach Hocker","WAS",36.5,2.5
