"name","pos","name_nf","team_nf","positionRank_nf","overallRank_nf","pts_nf","passAtt_nf","passComp_nf","passYds_nf","passTds_nf","passInt_nf","rushAtt_nf","rushYds_nf","rushTds_nf","rec_nf","recYds_nf","recTds_nf","returnTds_nf","twoPts_nf","fumbles_nf"
"DREWBREES","QB","Drew Brees","NO",1,1,363.57,669.41,434.58,5199.12,39.5,13.66,44.61,152.16,2.44,0.06,-0.06,0,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,345.94,683.76,459.32,5395.64,40.3,15.12,27.52,28.07,0.44,0.24,-0.56,0,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,345.93,605.02,388.77,4678.68,37.65,12.96,49.69,215.47,3.14,0.14,-0.47,0,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,4,305.96,0.16,0.02,0.02,0.02,0,319.61,1549.52,10.04,83.05,737.12,3.61,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",4,5,296.86,473.88,277.92,3371.74,22.41,12.16,106.49,661.47,6.14,0.19,1.23,0,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",5,6,291.24,583.78,347.03,4068.45,24.23,12.42,64.59,350.22,4.24,0.48,3.55,0,NA,NA,NA
"LESEANMCCOY","RB","Lesean McCoy","PHI",2,7,290.39,0.62,0.1,0.86,0.1,0,296.44,1506.62,12.71,56.44,528.15,2.35,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,8,287.51,660.55,392.25,4673.84,29.97,18.46,44.76,144.67,1.74,0.06,-0.55,0,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",7,9,284.79,495.98,303.79,3655.38,25.52,10.57,88.56,471.14,2.76,0,0,0,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",8,10,283.62,548.08,356.51,4152.14,30.56,11.84,34.13,121.7,1.94,0.08,-0.2,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",9,11,281.46,673.84,426.79,4631.62,27.45,16.95,36.09,149.85,1.97,0.36,1.54,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",10,12,279.26,549.67,364.64,4294.86,32.47,11.81,24.22,37.63,0.32,0.08,-0.19,0,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",11,13,278.44,509.95,319.14,3881.27,27.37,9.38,62.19,217.83,2.46,0.06,2.51,0,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",12,14,269.29,561.8,346.56,3923.89,24.02,13.01,52.92,276.29,3.36,0.33,0.1,0,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WSH",13,15,268.68,581.11,336.05,3924.4,21.28,14.37,98.18,476.03,2.73,0.43,-0.83,0,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",14,16,266.7,623.62,389,4503.49,28.71,15.28,27.86,61.2,0.36,0,0,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",3,17,263.91,0.02,0,0,0,0.02,339.17,1525.51,12.56,50.78,327.97,1.09,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",4,18,263.03,0.2,0.04,0.04,0.04,0,272.07,1265.22,9.85,69.98,636.05,2.97,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",15,19,259.05,484.97,278.83,3423.3,20.3,12.26,91.11,484.39,3.8,0,0,0,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",16,20,253.48,583.37,360.1,4129.1,25.86,15.49,38.77,126.6,1.66,0,0,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",5,21,248.84,0.42,0.24,7.71,0.08,0.02,310.49,1328.23,12,43.46,351.27,2.01,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",17,22,246.79,505.33,309.74,3521.72,22.7,13.88,61.17,255.7,3.67,0.22,3.7,0,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",6,23,243.68,0,0,0,0,0,332.32,1534.22,10.36,44.95,276.8,0.67,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",7,24,242.49,0,0,0,0,0,305.76,1401.88,8.88,66.64,461.85,1.21,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",8,25,238.19,0.44,0.12,1.68,0.12,0,304.03,1251.52,9.16,64.02,534.71,1.57,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",9,26,230.28,0.06,0.02,0.69,0,0,279.61,1250.24,9.4,62.86,461.1,1.44,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,27,229.14,0.02,0,0,0,0,0,0,0,96.89,1579.82,12,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",10,28,229.12,0.18,0,0,0,0.02,235.9,1139.21,8.52,66.63,519.77,2.5,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",18,29,227.45,470.53,278.41,3137.32,19.32,10.92,62.09,321.51,3.18,0.46,0.9,0.04,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",19,30,216.08,494.47,301.58,3525.6,24.29,12.36,25.38,60.36,0.48,0,0,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",20,31,214.91,528.82,312.8,3571.22,21.13,16.59,41.67,170.14,1.48,0.1,0.1,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",21,32,211.86,585.33,350.76,4026.37,23.27,18.9,28,20.93,0.46,0.06,-0.47,0,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,33,207.82,0.04,0,0,0,0,0,0,0,92.75,1369.22,12.01,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",3,34,207.66,0.08,0,0,0,0,0,0,0,96.68,1446.77,10.65,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",4,35,202.24,0.04,0,0,0,0.04,0,0,0,101.69,1374.59,10.89,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",22,36,197.87,376.6,222.78,2524.18,16.21,8.73,57.18,348.67,3.21,0.2,-1.06,0,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",11,37,196.84,0.35,0.16,2.68,0.16,0,324.07,1340.49,6.9,38.77,236.83,0.3,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",5,38,195.97,0.08,0.02,0.6,0.02,0,0.64,1.68,0,94.49,1267,11.66,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",6,39,194.78,0.2,0.18,2.73,0,0.02,4.04,12.75,0,110.6,1413.95,8.82,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",23,40,194.53,583.22,336.35,3542.71,17.99,19.15,41.64,184.16,0.86,0.09,0.64,0,NA,NA,NA
"EJMANUEL","QB","E.J. Manuel","BUF",24,41,192.53,490.94,274.22,3073.37,16.68,15.04,52.59,254.53,2.72,0.14,1.26,0,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",7,42,189.93,0.12,0,0,0,0.12,1.36,6.56,0,91.1,1339.57,9.42,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",25,43,188.51,336.75,215.25,2603.93,20.05,7.69,31.14,141.05,1.51,0.04,-0.08,0,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",12,44,188.5,0.02,0,0,0,0,204.83,874.47,5.9,58.81,560.75,2.21,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",8,45,184.37,0.1,0,0,0,0,2.53,16.82,0.06,91.84,1303.48,8.83,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",13,46,184.09,0.14,0.02,0.46,0.02,0,289.82,1139.95,8.95,30.87,192.58,0.56,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WSH",14,47,183.96,0,0,0,0,0,282.51,1274.21,8.38,11.92,88.16,0.34,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,48,182.82,0,0,0,0,0,0,0,0,91.86,1172.75,10.97,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",15,49,182.67,0.16,0.1,1.61,0.1,0,246.72,1137,7.09,28.78,232.89,0.96,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",16,50,180.97,0.04,0,0,0,0,202.49,902.07,4.95,57.2,533.39,1.98,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",9,51,180.23,0.04,0,0,0,0.02,0,0,0,83.66,1214.91,9.91,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",17,52,176.01,0.04,0.04,0.04,0.04,0,202.75,917.05,5.85,46.01,418.65,1.81,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",10,53,175.75,0.04,0.04,1.18,0,0,6.97,68.03,0.41,77.02,1225.36,7.51,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",18,54,172.84,0.18,0.04,0.64,0.04,0,287.34,1127.25,7.48,29.06,184.11,0.28,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",11,55,172.35,0.67,0.24,11.61,0.24,0,0,0,0,107.1,1310.63,6.69,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",12,56,172.17,0.08,0,0,0,0,0,0,0,89.07,1294.72,7.29,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",13,57,171.62,0.14,0.04,1.24,0,0,0.73,3.36,0,83.05,1262.98,7.53,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",19,58,167.84,0,0,0,0,0,178.2,912.63,5.92,42.36,369.78,1.11,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","OAK",26,59,165.73,554.86,309.24,3373,17.46,18.5,27.29,42.51,0.82,0.2,-1.63,0,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",14,60,163.69,0.24,0.1,-0.7,0,0,1.7,7.89,0,94.98,1167.91,8.1,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",15,61,163.36,0.04,0,0,0,0,0,0,0,93.46,1219.36,7.19,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",16,62,161.67,0.06,0,0,0,0,0,0,0,99.11,1256.69,6.23,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",17,63,160.51,0.18,0,0,0,0.14,0,0,0,78.84,1003.5,10.18,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",27,64,159.35,362.83,215.58,2463.57,14.77,9.67,33.47,168.43,1.44,0.22,-0.71,0,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",28,65,159.07,400.4,235.42,2716.6,14.44,11.19,38.09,159.87,0.63,0.06,-0.18,0,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WSH",18,66,158.86,0.28,0.08,2.72,0.08,0,1.29,7.04,0,97.59,1165.26,7.03,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",20,67,158.51,0.12,0.12,1.73,0.12,0,111.21,504.92,3.77,78.93,637.26,3.73,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",19,68,157.47,0.1,0,0,0,0,0,0,0,77.25,1077.06,8.42,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WSH",20,69,157.03,0,0,0,0,0,1.93,10.27,0.04,73.58,1120.82,7.34,NA,NA,NA
