"playerId","yahooId","cbsId","player","position","team","draft_year","birthdate"
"2541162","27337","2060061","A.J. Bouye","DB","HOU","2013","682318800"
"2552580","28590","2061203","A.J. Derby","TE","FA","2015","685342800"
"2541707","27245","2059270","A.J. Francis","DL","SEA","2013","636786000"
"2495450","24791","1673207","A.J. Green","WR","CIN","2011","586328400"
"2495853","7754","412454","A.J. Hawk","LB","CIN","2006","442213200"
"2532876","25740","1672870","A.J. Jenkins","WR","FA","2012","658040400"
"2539982","26771","1665140","A.J. Klein","LB","CAR","2013","680850000"
"2543497","27692","1691424","A.J. McCarron","QB","CIN","2014","653202000"
"2553605","28777","2174805","A.J. Tarpley","LB","BUF","2015","704610000"
"2507891","24527","1114977","Aaron Berry","DB","FA","2010","583218000"
"2543501","27642","1737542","Aaron Colvin","DB","JAC","2014","686379600"
"2539256","26682","1701513","Aaron Dobson","WR","NE","2013","680245200"
"2543485","27541","1737460","Aaron Donald","DL","STL","2014","674974800"
"2543650","27678","1825187","Aaron Lynch","LB","SF","2014","731566800"
"2543587","27691","1664257","Aaron Murray","QB","KC","2014","658213200"
"2552477","28594","2174201","Aaron Ripkowski","RB","GB","2015","724827600"
"2506363","7200","419780","Aaron Rodgers","QB","GB","2005","439189200"
"2495725","8274","437049","Aaron Ross","DB","FA","2007","400914000"
"2539230","27104","1664267","Abry Jones","DL","JAC","2013","684306000"
"2540267","26724","1737695","Ace Sanders","WR","FA","2013","689835600"
"2507229","8436","1221719","Adam Hayward","LB","WAS","2007","456814800"
"2553895","29070",NA,"Adam Humphries","WR","TB","2015","740898000"
"2506345","7182","552555","Adam Jones","DB","CIN","2005","433746000"
"2541785","27277","2059362","Adam Thielen","WR","MIN","2014","651301200"
"2550565","27940","2130817","Adarius Glanton","LB","TB","2014","653893200"
"2495140","24807","1115762","Adrian Clayborn","DL","ATL","2011","584168400"
"2553509","28921","2174875","Adrian Coxson","WR","FA","2015","713768400"
"2507164","8261","517568","Adrian Peterson","RB","MIN","2007","480229200"
"2534752","25837","1971880","Adrien Robinson","TE","FA","2012","590994000"
"2495560","8504","520778","Ahmad Bradshaw","RB","IND","2007","511592400"
"2507010","8006","1114534","Ahmad Brooks","LB","SF","2006","448088400"
"1344","8967","1123479","Ahtyba Rubin","DL","SEA","2008","522651600"
"2495491","24826","1244512","Akeem Ayers","LB","STL","2011","616050000"
"2495276","24878","1114916","Akeem Dent","LB","HOU","2011","559717200"
"2553660","28874","2174930","Akeem Hunt","RB","HOU","2015","730357200"
"2507285","8583","1226231","Akeem Jordan","LB","FA","2007","493102800"
"2540201","26723","1691215","Akeem Spence","DL","TB","2013","691390800"
"2533433","25799","1679965","Akiem Hicks","DL","NE","2012","627195600"
"496881","24098","1116455","Al Woods","DL","TEN","2010","543646800"
"2532955","25819","1632002","Alameda Taamu","DL","ARI","2012","651387600"
"2507253","8491","432990","Alan Ball","DB","CHI","2007","480920400"
"2540260","26818","1701956","Alan Bonner","WR","FA","2013","657781200"
"2495561","8287","517273","Alan Branch","DL","NE","2007","473144400"
"2553523","28804","1737456","Alani Fua","LB","ARI","2015","694242000"
"496814","24358","1125328","Albert McClellan","LB","BAL","2010","518245200"
"2550272","28046","2130201","Albert Wilson","WR","KC","2014","710917200"
"2495487","24794","1630791","Aldon Smith","LB","OAK","2011","628405200"
"2495331","24965","1273600","Aldrick Robinson","WR","FA","2011","591080400"
"2540143","26653","1737114","Alec Ogletree","LB","STL","2013","685774800"
"2550424","27959","2130596","Alex Bayer","TE","FA","2014","658040400"
"496766","24047","1137271","Alex Carrington","DL","BUF","2010","551077200"
"2552587","28468","1996524","Alex Carter","DB","DET","2015","782542800"
"2539319","26726","1664175","Alex Okafor","LB","ARI","2013","665989200"
"2506340","7177","552642","Alex Smith","QB","KC","2005","452754000"
"2506410","7247","421093","Alex Smith","TE","WAS","2005","390891600"
"2507897","24287","1116949","Alfonso Smith","RB","FA","2010","538376400"
"2532832","25934","1630805","Alfonzo Dennard","DB","FA","2012","621320400"
"2543600","27709","2129554","Alfred Blue","RB","HOU","2014","672728400"
"2533457","25883","1254119","Alfred Morris","RB","WAS","2012","597906000"
"2495116","24873","1272275","Allen Bailey","DL","KC","2011","606805200"
"2495125","24974","1117305","Allen Bradford","LB","FA","2011","589006800"
"2550353","27874","2130337","Allen Hurns","WR","JAC","2014","690699600"
"2543509","27589","1889923","Allen Robinson","WR","JAC","2014","746168400"
"2553533","28926","2174878","Alonzo Harris","RB","FA","2015","721285200"
"2533039","25755","1686006","Alshon Jeffery","WR","CHI","2012","634971600"
"494317","24079","1119272","Alterraun Verner","DB","TB","2010","597992400"
"2552487","28392","1984220","Amari Cooper","WR","OAK","2015","771915600"
"2552305","28595","1877276","Amarlo Herrera","LB","IND","2015","685342800"
"2552374","28442","1824308","Ameer Abdullah","RB","DET","2015","739947600"
"2532801","25748","1262880","Andre Branch","DL","JAC","2012","616395600"
"2507790","9393","584399","Andre Brown","RB","FA","2009","535006800"
"206","8874","407741","Andre Caldwell","WR","DEN","2008","482389200"
"2553453","28609","2174215","Andre Debose","WR","OAK","2015",NA
"2539217","26810","1630220","Andre Ellington","RB","ARI","2013","602485200"
"1706","8864","410703","Andre Fluellen","DL","FA","2008","479019600"
"2495453","25234","1724424","Andre Holmes","WR","OAK","2011","582440400"
"2505551","6339","396162","Andre Johnson","WR","IND","2003","363675600"
"497320","24063","1746418","Andre Roberts","WR","WAS","2010","568702800"
"2543565","27641","1749684","Andre Williams","RB","NYG","2014","714978000"
"2499275","25021","1823811","Andrew Gachkar","LB","DAL","2011","594622800"
"2508097","24774","1803774","Andrew Hawkins","WR","CLE","2011","510814800"
"2550153","27731","2129585","Andrew Jackson","LB","FA","2014","700722000"
"2533031","25711","1631912","Andrew Luck","QB","IND","2012","621579600"
"497258","24130","1117622","Andrew Quarless","TE","GB","2010","592117200"
"2553829","29066",NA,"Andrew Turzilli","WR","TEN","2015","687330000"
"2495143","24822","1125961","Andy Dalton","QB","CIN","2011","562482000"
"2541871","27355","2060110","Andy Mulumba","LB","GB","2013","633675600"
"4401","8980","1615611","Andy Studebaker","LB","IND","2008","495694800"
"2552670","28488","1824792","Angelo Blackson","DL","TEN","2015","721717200"
"2505587","6390","395928","Anquan Boldin","WR","SF","2003","339397200"
"2543459","27537","1759765","Anthony Barr","LB","MIN","2014","700894800"
"2550556","28192","2130840","Anthony Denham","TE","HOU","0","680072400"
"497172","24149","1746622","Anthony Dixon","RB","BUF","2010","559458000"
"2495835","7802","410446","Anthony Fasano","TE","TEN","2006","451285200"
"2543592","27647","2129465","Anthony Hitchens","LB","DAL","2014","708152400"
"2550489","28097","1824830","Anthony Johnson","DL","FA","2014","727851600"
"497250","24161","1117497","Anthony McCoy","TE","SEA","2010","567666000"
"2495340","24923","1277500","Anthony Sherman","RB","KC","2011","597819600"
"2495745","8280","421377","Anthony Spencer","LB","FA","2007","443682000"
"208","8804","504438","Antoine Cason","DB","FA","2008","521269200"
"89798","9707","1675742","Antone Smith","RB","FA","2009","495781200"
"2550474","27946","1776334","Antonio Andrews","RB","TEN","2014","714027600"
"2508061","24171","1272852","Antonio Brown","WR","PIT","2010","584514000"
"2495822","7768","408961","Antonio Cromartie","DB","NYJ","2006","450853200"
"2505299","6663","396811","Antonio Gates","TE","SD","2003","330152400"
"2505988","6894","493063","Antonio Smith","DL","DEN","2004","372488400"
"2495543","8388","433287","Antwan Barnes","LB","FA","2007","467010000"
"2553526","29014","1762145","Antwan Goodley","WR","FA","2015","684133200"
"2534566","26082","1977072","Antwon Blake","DB","PIT","2012","650178000"
"1302","8797","517808","Aqib Talib","DB","DEN","2008","508654800"
"79555","9527","518611","Arian Foster","RB","HOU","2009","525243600"
"2552493","28405","1996151","Arik Armstead","DL","SF","2015","784875600"
"100026","22","412","Arizona Cardinals","DST","ARI","1970",NA
"2540278","26840","1888777","Armonty Bryant","LB","CLE","2013","643179600"
"497270","24014","1272540","Arrelious Benn","WR","JAC","2010","589698000"
"2508055","24133","1115105","Art Jones","DL","IND","2010","518158800"
"2539245","26679","1619684","Arthur Brown","LB","BAL","2013","645598800"
"2543714","27683","1700713","Arthur Lynch","TE","FA","2014","645598800"
"496825","24154","1692077","Arthur Moats","LB","PIT","2010","574318800"
"2532872","25879","1633227","Asa Jackson","DB","FA","2012","628578000"
"2550454","28147","2130634","Asante Cleveland","TE","SD","2014","701154000"
"89774","9536","1675025","Ashlee Palmer","LB","FA","2009","513234000"
"100026","1","401","Atlanta Falcons","DST","ATL","1970",NA
"2532814","25920","1272213","Audie Cole","LB","MIN","2012","612680400"
"2533349","26346","1265479","Austin Davis","QB","CLE","2012","612766800"
"2553892","28710","2175134","Austin Hill","WR","FA","2015","679726800"
"2534437","26601","2042447","Austin Johnson","RB","NO","2013","613976400"
"2495212","24865","1274378","Austin Pettis","WR","FA","2011","578984400"
"2543683","27566","1824731","Austin Seferian-Jenkins","TE","TB","2014","717742800"
"2543597","27679","2129521","Avery Williamson","LB","TEN","2014","700117200"
"2541429","26860","2057736","B.J. Daniels","WR","HOU","2013","625208400"
"2552267","28581","1851271","B.J. Dubose","DL","FA","2015","695797200"
"79631","9273","1243129","B.J. Raji","DL","GB","2009","521442000"
"2539338","26737","1707322","B.W. Webb","DB","TEN","2013","641710800"
"100026","33","425","Baltimore Ravens","DST","BAL","1970",NA
"2540140","26629","1679974","Barkevious Mingo","LB","CLE","2013","655016400"
"2506926","7873","408510","Barry Cofield","DL","NYG","2006","448520400"
"2543571","27630","1765886","Bashaud Breeland","DB","WAS","2014","696747600"
"79625","9448","518905","Bear Pascoe","TE","DET","2009","509518800"
"2543884","27752","2129632","Beau Allen","DL","PHI","2014","690094800"
"2553524","28821","2174784","Beau Gardner","TE","ATL","2015","630738000"
"2553878","29045",NA,"Ben Edwards","WR","NYG","2015","702968400"
"2549984","27759","2129624","Ben Gardner","DL","FA","2014","672901200"
"2552306","28528","1824277","Ben Heeney","LB","OAK","2015","705733200"
"2552396","28617","1893200","Ben Koyack","TE","FA","2015","734331600"
"2550371","28131","2130303","Ben Malena","RB","FA","2014","707115600"
"2506109","6770","493043","Ben Roethlisberger","QB","PIT","2004","383893200"
"497208","24033","1113529","Ben Tate","RB","FA","2010","588142800"
"929","9039","1616291","BenJarvus Green-Ellis","RB","FA","2008","489128400"
"2552490","28431","1852910","Benardrick McKinney","LB","HOU","2015","722149200"
"2543855","27676","2129519","Bene Benwikere","DB","CAR","2014","683874000"
"2506122","6791","493107","Benjamin Watson","TE","NO","2004","345963600"
"2550198","27826","2130161","Bennie Fowler","WR","DEN","2014","676530000"
"2540163","26690","1664945","Bennie Logan","DL","PHI","2013","630824400"
"2541544","27167","2058327","Benny Cunningham","RB","STL","2013","647326800"
"2542009","27413","2062194","Benson Mayowa","DL","OAK","2013","681195600"
"2533545","25794","1713803","Bernard Pierce","RB","JAC","2012","673851600"
"2495328","24913","1265393","Bilal Powell","RB","NYJ","2011","593931600"
"2532976","25915","1274395","Billy Winn","DL","IND","2012","608619600"
"2543682","27582","1884454","Bishop Sankey","RB","TEN","2014","716533200"
"2540141","26647","1737758","Bjoern Werner","LB","IND","2013","651992400"
"2495441","24797","1630777","Blaine Gabbert","QB","SF","2011","624430800"
"2550278","27786","2130220","Blake Annen","TE","FA","2014","675406800"
"2552478","28505","1737101","Blake Bell","TE","SF","2015","681541200"
"2543477","27531","1749727","Blake Bortles","QB","JAC","2014","692859600"
"2539219","26693","1725141","Blidi Wreh-Wilson","DB","TEN","2013","628837200"
"2552434","28533","1825152","Bobby McCain","DB","MIA","2015","745650000"
"2534571","26455","1979420","Bobby Rainey","RB","TB","2012","561358800"
"2553820","28763","1889891","Bobby Richardson","DL","NO","2015","722235600"
"2532966","25757","1631476","Bobby Wagner","LB","SEA","2012","646462800"
"2507768","9482","1674123","Brad Jones","LB","FA","2009","512715600"
"2506916","7852","421137","Brad Smith","WR","FA","2006","440053200"
