"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"LESEANMCCOY","LeSeanMcCoy","RB","PHI",1.98801677651288,0.847656842453848,1,1.4826,2
"JAMAALCHARLES","JamaalCharles","RB","KC",1.98971439984022,0.833840620912022,1,1.4826,2
"ADRIANPETERSON","AdrianPeterson","RB","MIN",2.19223087677252,0.960466715205149,1,1.4826,2
"MATTFORTE","MattForte","RB","CHI",4.31326143399241,0.900874486742442,1,0,4
"EDDIELACY","EddieLacy","RB","GB",5.84042340722988,1.58260659159642,1,1.4826,6
"CALVINJOHNSON","CalvinJohnson","WR","DET",6.03644897143998,1.41469708219031,1,1.4826,6
"MARSHAWNLYNCH","MarshawnLynch","RB","SEA",6.80107849011384,1.50094841192322,1,1.4826,7
"DEMARYIUSTHOMAS","DemaryiusThomas","WR","DEN",11.0898741761534,4.96703517746309,1,2.9652,9
"ARIANFOSTER","ArianFoster","RB","HOU",12.6393049730377,4.40001690483906,1,5.9304,13
"JIMMYGRAHAM","JimmyGraham","TE","NO",13.1719592570401,5.19869735851632,1,5.9304,9
"PEYTONMANNING","PeytonManning","QB","DEN",13.4834232075095,4.41865284723353,1,5.9304,14
"DEZBRYANT","DezBryant","WR","DAL",14.5008987417615,3.78229450385667,1,4.4478,14
"JULIOJONES","JulioJones","WR","ATL",14.7133013780707,3.15278713821335,1,1.4826,13
"AJGREEN","A.J.Green","WR","CIN",14.8659876173357,4.19720312469572,1,4.4478,16
"MONTEEBALL","MonteeBall","RB","DEN",15.3150589175155,4.12266947339475,1,4.4478,15
"BRANDONMARSHALL","BrandonMarshall","WR","CHI",15.4999001398043,3.02289112573188,1,2.9652,15
"LEVEONBELL","LeVeonBell","RB","PIT",16.3527062113042,3.23286827719293,1,2.9652,16
"DOUGMARTIN","DougMartin","RB","TB",16.3854603555023,4.94550471446859,1,5.9304,16
"DEMARCOMURRAY","DeMarcoMurray","RB","DAL",18.0474335929698,5.3879595176876,1,7.413,17
"GIOVANIBERNARD","GiovaniBernard","RB","CIN",20.6567805072898,6.37530372715355,1,5.9304,23
"ZACSTACY","ZacStacy","RB","STL",20.6702616337128,5.62753502839453,1,4.4478,23
"ALFREDMORRIS","AlfredMorris","RB","WAS",22.6021569802277,4.85354256218063,1,2.9652,23
