"playerId","aav","leagueType","source"
100029,"1","std","MFL"
100029,"0.0","std","ESPN"
100029,"0","std","Yahoo"
2541162,"1","std","MFL"
2552580,"1","std","MFL"
2552580,"0","std","Yahoo"
2541707,"0.0","std","ESPN"
2495450,"34","std","MFL"
2495450,"39.1","std","ESPN"
2495450,"36","std","Yahoo"
2495853,"1","std","MFL"
2495853,"0.0","std","ESPN"
2532876,"1","std","MFL"
2532876,"0","std","Yahoo"
2539982,"1","std","MFL"
2539982,"0.0","std","ESPN"
2543497,"1","std","MFL"
2543501,"1","std","MFL"
2543501,"0.0","std","ESPN"
2539256,"1","std","MFL"
2539256,"0.0","std","ESPN"
2539256,"0","std","Yahoo"
2543485,"4","std","MFL"
2543485,"0.0","std","ESPN"
2543650,"1","std","MFL"
2543650,"0.0","std","ESPN"
2543587,"0","std","MFL"
2543587,"0.0","std","ESPN"
2543587,"0","std","Yahoo"
2552477,"0","std","MFL"
2552477,"0.0","std","ESPN"
2506363,"40","std","MFL"
2506363,"44.2","std","ESPN"
2506363,"38","std","Yahoo"
2508110,"1","std","MFL"
2508110,"0.0","std","ESPN"
2539230,"0","std","MFL"
2540267,"1","std","MFL"
2540267,"0","std","Yahoo"
2553895,"0.0","std","ESPN"
2553895,"0","std","Yahoo"
2506345,"2","std","MFL"
2506345,"0.0","std","ESPN"
2541785,"0","std","MFL"
2541785,"0.0","std","ESPN"
2541785,"0","std","Yahoo"
2552385,"0","std","MFL"
2552385,"0.0","std","ESPN"
2495140,"1","std","MFL"
2495140,"0.0","std","ESPN"
2553509,"0","std","MFL"
2553509,"0","std","Yahoo"
2507164,"42","std","MFL"
2507164,"59.3","std","ESPN"
2507164,"55","std","Yahoo"
2550842,"0.0","std","ESPN"
2534752,"1","std","MFL"
2534752,"0.0","std","ESPN"
2534752,"0","std","Yahoo"
2495560,"0","std","MFL"
2495560,"0.0","std","ESPN"
2495560,"1","std","Yahoo"
2507010,"1","std","MFL"
2507010,"0.0","std","ESPN"
1344,"0","std","MFL"
1344,"0.0","std","ESPN"
2495491,"2","std","MFL"
2495491,"0.0","std","ESPN"
2495276,"0","std","MFL"
2553660,"0","std","MFL"
2553660,"0","std","Yahoo"
2553456,"0","std","MFL"
2553456,"0.0","std","ESPN"
2540201,"0","std","MFL"
2533433,"0","std","MFL"
2533433,"0.0","std","ESPN"
496881,"0","std","MFL"
2532955,"0","std","MFL"
2532955,"0.0","std","ESPN"
2507253,"0","std","MFL"
2507253,"0.0","std","ESPN"
2540260,"0","std","MFL"
2540260,"0","std","Yahoo"
2495561,"0","std","MFL"
496814,"0","std","MFL"
2550272,"1","std","MFL"
2550272,"0.0","std","ESPN"
