"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
306,0,0,52,6,2,0,0,13,1,3,2,1,129,2,"Dominique Rodgers-Cromartie","yasp"
79848,0,0,91,19,9,0,0,10,0,2,3,1,133,1,"Malcolm Jenkins","yasp"
494259,0,0,78,39,2,0,0,0,0,0,1,0,0,0,"Barry Church","yasp"
494261,0,0,55,35,5,1,0,9,0,7,0,0,89,1,"Kurt Coleman","yasp"
494315,0,0,52,19,3,2,1,7,0,3,2,1,150,1,"Walter Thurmond","yasp"
496739,43,0,108,28,9,2,0,10,0,5,0,1,113,2,"Reshad Jones","yasp"
2495611,0,0,72,38,1,0,0,3,0,1,1,2,49,1,"Dashon Goldson","yasp"
2495613,0,0,96,31,4,1,0,4,0,2,0,2,94,1,"Corey Graham","yasp"
2503797,0,0,59,15,1,0,0,9,0,5,1,3,58,0,"Charles Woodson","yasp"
2505708,0,0,52,23,1,1,0,6,0,5,3,1,63,1,"Mike Adams","yasp"
2507167,0,0,52,25,2,0,0,14,0,8,0,2,140,0,"Reggie Nelson","yasp"
2530794,0,0,67,11,6,5,0,12,0,3,1,0,5,0,"Ron Parker","yasp"
2532789,0,0,79,37,16,1,0,5,0,0,3,0,0,0,"Mark Barron","yasp"
2532877,0,0,58,13,1,0,0,17,0,7,0,1,136,1,"Trumaine Johnson","yasp"
2532920,0,0,48,8,3,0,0,18,0,4,3,2,122,2,"Josh Norman","yasp"
2534566,0,0,65,12,5,1,0,11,0,2,1,0,112,1,"Antwon Blake","yasp"
2539223,0,0,79,30,2,0,0,2,0,1,1,1,48,0,"Johnathan Cyprien","yasp"
2539320,0,0,71,33,6,3,0,5,0,0,1,1,8,0,"Kenny Vaccaro","yasp"
2540170,0,0,55,5,0,0,0,26,0,4,1,0,28,1,"David Amerson","yasp"
2540180,0,0,80,9,11,1,0,17,0,5,1,0,92,1,"Tyrann Mathieu","yasp"
2543470,0,0,83,17,3,3,0,3,0,2,1,0,2,0,"Ha Ha Clinton-Dix","yasp"
2543571,0,0,59,22,5,0,0,16,0,2,3,2,55,0,"Bashaud Breeland","yasp"
2543769,0,0,93,19,11,3,0,3,0,1,3,2,39,1,"Deone Bucannon","yasp"
2552454,0,0,84,28,5,0,0,9,0,1,1,0,0,0,"Landon Collins","yasp"
2552488,0,0,53,7,2,0,0,26,0,8,1,0,280,2,"Marcus Peters","yasp"
280,0,0,56,20,2,1,0,8,0,4,0,0,96,1,"Dwight Lowery","yasp"
71353,0,0,50,11,2,0,0,7,0,5,0,1,18,0,"Rashad Johnson","yasp"
71441,0,0,56,11,0,0,0,5,0,4,1,0,77,1,"Glover Quin","yasp"
2495153,0,0,60,22,0,0,0,8,0,3,0,0,31,0,"Marcus Gilchrist","yasp"
2495170,0,0,49,11,1,0,0,23,0,4,1,1,21,0,"Davon House","yasp"
2495272,0,0,60,20,6,0,0,6,0,2,2,0,-4,0,"Chris Conte","yasp"
2495614,0,0,66,35,4,1,0,3,0,1,0,0,29,0,"Michael Griffin","yasp"
2495872,0,0,48,10,1,0,0,22,0,1,1,1,2,0,"Johnathan Joseph","yasp"
2506088,0,0,62,17,5,4,0,8,0,1,2,0,20,0,"Will Allen","yasp"
2506155,0,0,63,13,0,0,0,10,0,1,0,1,0,0,"Brandon Browner","yasp"
2506345,414,0,53,9,1,1,0,12,0,3,1,0,14,0,"Adam Jones","yasp"
2508080,0,0,45,19,0,0,0,9,0,5,1,0,67,0,"Earl Thomas","yasp"
2532875,5,0,57,8,1,0,0,15,0,3,1,0,0,0,"Janoris Jenkins","yasp"
2533060,0,0,63,7,0,0,0,16,0,0,0,0,0,0,"Dre Kirkpatrick","yasp"
2534832,0,0,59,22,2,0,0,5,0,1,3,1,24,1,"Rodney McLeod","yasp"
2539237,0,0,64,6,3,1,0,8,0,1,1,0,1,0,"D.J. Hayden","yasp"
2539243,0,0,66,20,2,0,0,4,0,2,0,0,1,0,"Bradley McDougald","yasp"
2540162,0,0,58,16,2,0,0,14,0,4,0,0,39,0,"Logan Ryan","yasp"
2540164,0,0,58,20,4,2,0,5,0,2,3,0,26,1,"Tony Jefferson","yasp"
2543501,0,0,60,13,6,4,0,6,0,0,1,0,0,0,"Aaron Colvin","yasp"
2543850,0,0,60,9,0,1,0,5,0,3,0,1,13,0,"Ricardo Allen","yasp"
2550613,0,0,56,11,1,0,0,15,0,2,0,0,9,0,"Malcolm Butler","yasp"
2552389,0,0,53,5,1,0,0,14,0,3,0,0,47,1,"Damarious Randall","yasp"
2552689,0,0,61,7,3,0,0,21,0,2,0,0,48,0,"Ronald Darby","yasp"
1302,0,0,39,6,1,0,0,14,1,3,0,0,123,2,"Aqib Talib","yasp"
4365,0,0,60,16,1,0,0,6,0,0,0,1,5,0,"Brandon Carr","yasp"
71251,21,0,52,33,2,0,0,8,0,0,1,0,0,0,"Patrick Chung","yasp"
80668,0,0,51,4,4,1,0,4,0,2,1,2,85,1,"Captain Munnerlyn","yasp"
494307,0,0,48,15,2,0,0,10,0,1,1,2,0,0,"Darian Stewart","yasp"
496723,0,0,55,6,0,0,0,10,0,2,0,0,40,0,"Eric Berry","yasp"
496735,0,0,52,6,1,0,0,6,0,2,1,1,111,1,"Kareem Jackson","yasp"
2495108,0,0,55,8,1,0,0,10,0,1,1,1,6,0,"Prince Amukamara","yasp"
2495310,0,0,52,11,0,0,0,10,0,2,2,1,24,0,"Byron Maxwell","yasp"
2495775,0,0,56,23,1,0.5,0,6,0,0,0,1,0,0,"Eric Weddle","yasp"
2495988,0,0,58,23,4,1.5,0,4,0,0,1,0,0,0,"Donte Whitner","yasp"
2505552,0,0,52,10,2,0,0,12,0,3,0,0,4,0,"Terence Newman","yasp"
2506789,1,0,54,14,1,0,0,10,0,1,0,0,2,0,"Tramon Williams","yasp"
2508107,0,0,48,6,0,1,0,10,0,3,0,0,24,1,"Jimmy Smith","yasp"
2525323,0,0,58,16,0,0.5,0,3,1,1,0,1,37,0,"Andrew Sendejo","yasp"
2530510,0,0,49,9,4,0,0,6,0,2,2,0,94,1,"Chris Harris","yasp"
2532946,0,0,44,16,0,0,0,8,1,2,0,0,42,1,"Coty Sensabaugh","yasp"
2532948,0,0,49,17,3,1.5,0,3,0,2,1,0,35,1,"Harrison Smith","yasp"
2535687,0,0,66,19,2,0,0,2,0,0,0,0,0,0,"Michael Thomas","yasp"
2539240,344,0,51,4,1,1,0,6,0,3,0,2,36,0,"Micah Hyde","yasp"
2539653,0,0,45,8,1,0,0,15,0,2,0,1,76,1,"Robert Alford","yasp"
2540152,0,0,60,11,1,1,0,7,0,0,1,0,0,0,"Eric Reid","yasp"
2543469,0,0,50,19,2,0,0,6,0,2,1,0,47,0,"Calvin Pryor","yasp"
2543492,0,0,54,18,3,2,0,6,0,0,0,1,0,0,"Lamarcus Joyner","yasp"
2549981,0,0,55,10,2,0,0,8,0,3,0,0,45,0,"Kenneth Acker","yasp"
1974,46,0,36,26,1,0.5,0,6,0,1,1,2,33,1,"Quintin Demps","yasp"
79901,0,0,38,10,1,0,0,16,0,4,0,0,6,0,"Vontae Davis","yasp"
80680,0,0,46,6,2,1,0,9,0,1,0,2,12,1,"Jerraud Powers","yasp"
494254,0,0,42,15,0,0,0,10,0,2,0,0,18,1,"Nolan Carroll","yasp"
494257,0,0,44,30,1,0,0,4,0,2,1,0,6,0,"Kam Chancellor","yasp"
494287,0,0,51,13,1,1,0,5,0,1,0,0,27,0,"Devin McCourty","yasp"
494323,0,0,50,11,4,2,0,6,0,0,2,0,0,0,"T.J. Ward","yasp"
496727,0,0,47,21,4,0,0,5,0,0,2,1,21,0,"Morgan Burnett","yasp"
2495617,0,0,44,11,1,0,0,9,0,2,0,0,19,1,"Leon Hall","yasp"
2506861,59,0,41,7,1,0,0,14,0,4,0,0,20,0,"Brent Grimes","yasp"
2506893,0,0,46,27,2,0,0,5,0,0,0,2,1,0,"Roman Harper","yasp"
2507220,0,0,46,12,7,1,0,7,0,2,0,0,30,1,"William Gay","yasp"
2507301,0,0,47,16,3,1,0,2,0,1,3,0,0,0,"James Ihedigbo","yasp"
2507917,0,0,45,8,2,0,0,11,0,3,0,0,26,0,"Tramaine Brock","yasp"
2532792,0,0,44,2,0,0,0,9,0,2,2,1,21,1,"Justin Bethel","yasp"
2532861,0,0,56,9,3,0,0,7,0,0,0,0,0,0,"Casey Hayward","yasp"
