"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
744,0,0,46,15,16,5,0,2,0,0,0,1,0,0,"Calais Campbell","yasp"
1330,0,0,31,16,11,9,0,7,0,0,2,0,0,0,"Cliff Avril","yasp"
496780,0,0,37,18,16,13.5,0,1,2,0,2,1,21,0,"Carlos Dunlap","yasp"
496790,0,0,34,10,14,10.5,0,4,0,0,1,0,0,0,"Everson Griffen","yasp"
496796,0,0,37,15,8,5,0,4,0,0,2,1,2,0,"Jerry Hughes","yasp"
496861,0,0,39,19,16,6,0,5,0,0,0,0,0,0,"Ndamukong Suh","yasp"
2495184,0,0,32,14,15,10,0,5,1,0,1,2,0,0,"Cameron Jordan","yasp"
2495247,0,0,45,20,2,1,0,1,1,0,1,1,0,0,"Ian Williams","yasp"
2495488,0,0,56,20,29,17.5,0,8,0,0,3,1,0,0,"J.J. Watt","yasp"
2495490,0,0,39,25,11,12,0,7,0,0,2,0,0,0,"Muhammad Wilkerson","yasp"
2495920,0,0,33,19,6,6.5,0,6,0,0,1,1,0,0,"Rob Ninkovich","yasp"
2507617,0,0,33,19,18,10,0,0,0,0,2,0,0,0,"Michael Bennett","yasp"
2507617,0,0,33,19,18,10,0,0,0,0,2,0,0,0,"Michael Bennett","yasp"
2507617,0,0,33,19,18,10,0,0,0,0,2,0,0,0,"Michael Bennett","yasp"
2507617,0,0,33,19,18,10,0,0,0,0,2,0,0,0,"Michael Bennett","yasp"
2507617,0,0,33,19,18,10,0,0,0,0,2,0,0,0,"Michael Bennett","yasp"
2507617,0,0,33,19,18,10,0,0,0,0,2,0,0,0,"Michael Bennett","yasp"
2508109,0,0,39,16,15,7,0,2,2,0,1,0,0,0,"Cameron Heyward","yasp"
2532873,0,0,34,12,8,5.5,1,7,0,0,0,2,-2,0,"Malik Jackson","yasp"
2533006,0,0,36,21,11,5.5,0,0,0,0,1,2,-1,0,"Jaye Howard","yasp"
2533051,0,0,50,21,11,9.5,0,2,0,0,3,2,0,0,"Fletcher Cox","yasp"
2533534,0,0,41,20,18,7.5,0,0,0,0,0,0,0,0,"Olivier Vernon","yasp"
2533538,0,0,31,13,11,12.5,0,2,0,1,4,0,0,0,"Chandler Jones","yasp"
2539296,0,0,36,19,16,11,0,4,0,0,3,2,0,0,"Kawann Short","yasp"
2539931,0,0,39,8,15,14.5,0,1,0,0,4,2,1,0,"Ezekiel Ansah","yasp"
2540176,0,0,47,20,8,3,0,2,1,0,1,0,0,0,"William Gholston","yasp"
2543463,0,0,57,20,23,15,0,2,0,0,2,0,0,0,"Khalil Mack","yasp"
2543483,0,0,39,15,8,6.5,0,1,0,1,0,0,3,0,"Stephon Tuitt","yasp"
2543485,0,0,44,25,22,11,0,1,0,0,0,1,40,0,"Aaron Donald","yasp"
2543490,0,0,35,20,14,8,0,0,0,0,1,0,0,0,"Demarcus Lawrence","yasp"
2664,0,0,32,22,2,2.5,0,0,0,0,1,0,0,0,"Kroy Biermann","yasp"
4483,0,0,37,17,12,5.5,0,0,0,0,2,0,0,0,"William Hayes","yasp"
71193,0,0,30,11,10,9,0,4,0,0,2,0,0,0,"Robert Ayers","yasp"
496762,0,0,31,11,17,11,0,0,0,0,1,0,0,0,"Geno Atkins","yasp"
496794,0,0,36,6,11,8,0,0,0,0,0,1,0,0,"Lamarr Houston","yasp"
496802,0,0,42,14,7,0.5,0,1,0,0,1,0,0,0,"Linval Joseph","yasp"
2495228,0,0,28,9,9,8,0,2,0,0,4,0,0,0,"Jabaal Sheard","yasp"
2495476,0,0,34,20,11,7,0,3,0,0,0,0,0,0,"Jurrell Casey","yasp"
2495481,0,0,29,17,8,4.5,0,1,1,0,0,0,0,0,"Lawrence Guy","yasp"
2495723,0,0,30,4,8,5,0,3,0,0,1,2,0,0,"Brian Robison","yasp"
2495885,0,0,36,11,8,1,0,5,0,1,0,0,0,0,"Manny Lawson","yasp"
2507557,0,0,26,27,10,6,0,1,0,0,3,2,0,0,"Chris Baker","yasp"
2507784,0,0,29,13,6,5,0,2,0,0,3,1,0,0,"Michael Johnson","yasp"
2532822,0,0,28,20,3,2,0,2,1,0,1,2,0,0,"Jared Crick","yasp"
2532826,0,0,27,22,7,4,0,2,0,1,1,0,6,0,"Mike Daniels","yasp"
2532989,0,0,25,13,4,3.5,0,4,0,1,2,0,22,1,"Derrick Shelby","yasp"
2533005,0,0,15,7,5,7,0,1,0,0,3,3,22,1,"Jacquies Smith","yasp"
2533026,0,0,36,14,9,5.5,0,1,0,0,0,0,0,0,"Derek Wolfe","yasp"
2535718,0,0,39,33,5,0.5,0,0,0,0,1,0,0,0,"Damon Harrison","yasp"
2539960,0,0,32,27,4,2.5,0,1,2,0,0,0,0,0,"Quinton Dial","yasp"
2540163,0,0,39,16,9,1,0,0,0,0,0,0,0,0,"Bennie Logan","yasp"
2540278,0,0,28,12,7,5.5,0,0,0,0,2,1,34,0,"Armonty Bryant","yasp"
2541302,0,0,35,18,9,2,0,2,0,0,1,0,0,0,"Brandon Williams","yasp"
2552483,0,0,31,17,6,3,0,0,0,0,0,2,0,0,"Malcom Brown","yasp"
270,0,0,23,15,10,7,0,3,0,0,0,0,0,0,"Kendall Langford","yasp"
1336,0,0,32,15,5,0,0,2,0,0,0,1,0,0,"Nick Hayden","yasp"
496792,0,0,23,12,9,6,0,1,0,1,1,0,9,0,"Greg Hardy","yasp"
496816,0,0,26,8,8,8.5,0,1,0,0,0,0,0,0,"Gerald McCoy","yasp"
496835,0,0,23,6,10,5.5,0,3,0,0,1,0,0,0,"Jared Odrick","yasp"
2495116,0,0,26,12,7,4.5,0,0,0,0,2,1,0,0,"Allen Bailey","yasp"
2495478,0,0,38,13,5,2,0,0,0,0,0,0,0,0,"Marcell Dareus","yasp"
2506779,0,0,25,11,9,5.5,0,1,0,0,0,0,0,0,"Tom Johnson","yasp"
2507473,0,0,27,4,7,4.5,0,1,0,0,1,0,0,0,"Jason Jones","yasp"
2507568,0,0,24,9,7,6,0,0,0,0,1,0,0,0,"Desmond Bryant","yasp"
2508063,0,0,24,6,11,6.5,0,2,0,1,0,0,39,0,"Willie Young","yasp"
2508083,0,0,33,14,3,0.5,0,1,0,0,0,1,0,0,"Dan Williams","yasp"
2532801,0,0,18,6,4,4,0,4,0,0,2,1,49,1,"Andre Branch","yasp"
2532821,0,0,24,12,7,5,0,1,1,0,0,0,0,0,"Tyrone Crawford","yasp"
2533050,0,0,27,17,8,3,0,0,0,0,0,0,0,0,"Michael Brockers","yasp"
2533435,0,0,29,10,3,1,0,0,0,0,1,1,0,0,"Dontari Poe","yasp"
2539231,0,0,23,28,1,0.5,0,1,0,0,1,1,0,0,"John Jenkins","yasp"
2539304,0,0,27,8,8,7,0,1,0,0,1,0,0,0,"Devin Taylor","yasp"
2540142,0,0,20,15,4,5,0,2,0,0,2,0,0,0,"Sheldon Richardson","yasp"
2540277,0,0,23,14,4,1.5,0,4,0,1,0,2,8,0,"David Bass","yasp"
2543484,0,0,15,17,4,5,0,2,0,0,3,2,0,0,"Kony Ealy","yasp"
2552301,0,0,20,6,2,4,0,3,0,1,2,0,0,0,"Vic Beasley","yasp"
2552603,10,0,28,4,8,6,0,0,0,0,1,0,0,0,"Danielle Hunter","yasp"
2553433,0,0,33,8,5,2.5,0,2,0,0,2,0,0,0,"Mario Edwards","yasp"
1344,0,0,20,16,2,2,0,1,0,1,0,0,2,0,"Ahtyba Rubin","yasp"
79611,0,0,22,18,6,4,0,0,0,0,1,0,0,0,"Roy Miller","yasp"
79657,0,0,22,11,2,2,0,0,0,0,1,0,0,0,"Vance Walker","yasp"
238403,0,0,18,12,1,2,0,2,0,0,1,2,0,0,"Henry Melton","yasp"
496760,0,0,18,8,6,2,0,2,1,0,0,1,0,0,"Tyson Alualu","yasp"
496843,0,0,21,5,4,1,0,6,0,0,0,2,0,0,"Jason Pierre-Paul","yasp"
2495178,0,0,22,10,3,4,0,1,0,0,0,0,0,0,"Jarvis Jenkins","yasp"
2495483,0,0,28,6,5,3,0,0,0,0,0,0,0,0,"Corey Liuget","yasp"
2495485,0,0,13,8,5,5,0,3,0,0,3,0,0,0,"Robert Quinn","yasp"
2495561,0,0,22,13,1,1,0,2,0,0,2,0,0,0,"Alan Branch","yasp"
2505312,0,0,13,1,5,3,0,1,1,0,1,1,6,1,"Chris Clemons","yasp"
2505576,0,0,17,15,1,0,0,3,1,0,2,0,0,0,"Kevin Williams","yasp"
2505940,0,0,19,13,4,2,0,3,0,1,0,0,2,0,"Jared Allen","yasp"
2506349,0,0,17,8,8,7.5,0,0,0,0,1,1,0,0,"Demarcus Ware","yasp"
2506398,0,0,22,8,9,1.5,0,2,0,1,1,0,-1,0,"Jonathan Babineaux","yasp"
2506908,0,0,20,8,7,3,1,0,0,0,1,1,0,0,"Frostee Rucker","yasp"
2506925,0,0,17,18,6,5,0,1,0,0,0,0,0,0,"Domata Peko","yasp"
2531031,0,0,24,21,2,0,0,1,0,0,0,0,0,0,"Corbin Bryant","yasp"
2532937,0,0,24,6,5,2,0,4,0,1,0,0,1,0,"Kendall Reyes","yasp"
2540138,0,0,20,7,3,4,0,1,0,0,1,1,7,0,"Damontre Moore","yasp"
2543461,0,0,18,19,4,4,0,0,0,0,0,0,0,0,"Timmy Jernigan","yasp"
2543504,0,0,25,20,3,0,0,0,0,0,0,1,0,0,"DaQuan Jones","yasp"
2543748,0,0,23,6,7,2,0,0,0,0,0,1,27,1,"Caraun Reid","yasp"
2550646,0,0,20,2,6,3,1,3,3,0,0,0,0,0,"Denico Autry","yasp"
2553820,0,0,20,20,4,0.5,0,1,0,1,0,0,13,0,"Bobby Richardson","yasp"
1332,0,0,16,7,3,2,0,1,0,0,1,0,0,0,"Wallace Gilberry","yasp"
81841,0,0,17,12,4,1.5,0,0,0,0,0,0,0,0,"Terrance Knighton","yasp"
89758,0,0,21,10,2,0,0,0,0,0,0,0,0,0,"Clinton McDonald","yasp"
1037852,0,0,13,12,2,1.5,0,2,0,1,1,1,42,0,"Eugene Sims","yasp"
2495300,0,0,13,7,3,4,0,0,0,0,1,0,0,0,"Karl Klug","yasp"
2495356,0,0,17,16,4,1,0,1,0,0,0,0,0,0,"Cedric Thornton","yasp"
2495479,0,0,18,11,1,0.5,0,1,0,0,0,1,-5,0,"Nick Fairley","yasp"
2495982,0,0,15,4,6,5,0,0,0,0,0,0,0,0,"Mario Williams","yasp"
2505016,0,0,8,1,5,8,0,0,0,0,3,0,0,0,"Dwight Freeney","yasp"
2505363,0,0,15,11,3,3,0,2,0,0,0,0,0,0,"Cullen Jenkins","yasp"
2506314,0,0,7,2,3,7,0,1,0,0,4,0,0,0,"Cameron Wake","yasp"
2506879,0,0,15,10,6,2.5,0,3,0,0,0,0,0,0,"Haloti Ngata","yasp"
2506899,0,0,19,7,5,2,0,0,0,0,2,0,0,0,"Darryl Tapp","yasp"
2530474,0,0,15,8,5,6,0,1,0,0,0,0,0,0,"Mario Addison","yasp"
2533433,0,0,9,14,5,3,0,0,0,0,0,1,0,1,"Akiem Hicks","yasp"
2539270,0,0,16,8,3,2.5,0,0,1,0,0,0,0,0,"Sylvester Williams","yasp"
2539325,9,0,14,6,7,3,0,3,1,0,0,0,0,0,"Datone Jones","yasp"
2540147,0,0,21,9,1,0,0,1,0,0,1,0,0,0,"Johnathan Hankins","yasp"
2540150,0,0,19,15,2,2.5,0,1,0,0,0,0,0,0,"Sharrif Floyd","yasp"
2543860,0,0,18,17,0,0,0,0,1,0,0,0,0,0,"Jay Bromley","yasp"
2550230,0,0,16,17,3,1,0,0,0,0,0,0,0,0,"Jamie Meder","yasp"
2552272,0,0,19,12,5,1,0,2,0,0,0,0,0,0,"Henry Anderson","yasp"
2552325,0,0,19,17,4,0,0,0,0,0,0,0,0,0,"Danny Shelton","yasp"
2552489,0,0,16,6,5,4.5,0,0,1,0,0,0,0,0,"Eddie Goldman","yasp"
71341,0,0,14,17,1,0,0,0,0,0,0,0,0,0,"Tyson Jackson","yasp"
79583,0,0,9,18,5,2,0,1,0,0,0,0,0,0,"Ricky Jean-Francois","yasp"
496853,0,0,15,11,1,1,0,1,0,0,0,1,0,0,"George Selvie","yasp"
2495140,0,0,14,1,4,3,0,0,0,0,0,1,0,0,"Adrian Clayborn","yasp"
2495851,0,0,16,4,4,2,0,1,0,0,1,0,0,0,"Jason Hatcher","yasp"
2505998,0,0,14,15,5,1,0,0,0,0,0,1,0,0,"Randy Starks","yasp"
2507275,0,0,13,6,6,3,0,0,0,0,0,0,0,0,"Mike Devito","yasp"
2507837,0,0,10,9,5,3,0,0,0,0,0,1,0,0,"Kyle Love","yasp"
2517637,0,0,14,9,1,0,0,0,0,0,2,1,0,0,"George Johnson","yasp"
2532992,0,0,14,7,7,4,0,0,0,0,0,0,0,0,"Jack Crawford","yasp"
2533451,0,0,12,12,2,1.5,0,0,0,0,1,1,0,0,"John Hughes","yasp"
2539230,0,0,8,9,3,2,0,2,0,0,1,1,0,0,"Abry Jones","yasp"
2539329,0,0,13,9,3,1,0,2,0,0,1,1,0,0,"Star Lotulelei","yasp"
2542009,0,0,14,2,4,1,1,0,0,0,1,2,40,0,"Benson Mayowa","yasp"
2543478,0,0,17,10,2,1,0,1,0,0,0,0,0,0,"RaShede Hageman","yasp"
2543691,0,0,16,7,2,0,0,4,0,0,0,0,0,0,"Will Sutton","yasp"
2543868,0,0,20,8,5,0,0,0,0,0,0,0,0,0,"Cassius Marsh","yasp"
2543884,0,0,18,10,1,0,0,1,0,0,0,0,0,0,"Beau Allen","yasp"
2550242,0,0,16,8,2,1,0,0,0,0,1,0,0,0,"Mike Pennel","yasp"
2550437,0,0,13,3,2,1,0,1,0,0,2,1,0,0,"Josh Mauro","yasp"
2550575,0,0,16,13,2,0,0,1,0,0,0,0,0,0,"Zach Kerr","yasp"
2552438,0,0,15,16,4,1,0,0,0,0,0,0,0,0,"David Parry","yasp"
2552492,0,0,15,4,2,2,0,4,0,0,0,0,0,0,"Jordan Phillips","yasp"
2552629,0,0,15,1,4,3,0,2,0,0,1,0,0,0,"Frank Clark","yasp"
276,0,0,9,10,2,3,0,0,0,0,1,0,0,0,"Chris Long","yasp"
79631,0,0,13,9,2,0.5,0,2,0,0,0,0,0,0,"B.J. Raji","yasp"
496822,0,0,14,8,3,0,0,0,0,0,0,0,0,0,"Earl Mitchell","yasp"
496881,0,0,14,8,3,0,0,0,0,0,0,0,0,0,"Al Woods","yasp"
1037901,0,0,15,8,3,1,0,0,0,0,0,0,0,0,"Ricardo Mathews","yasp"
2495210,0,0,11,8,4,2.5,0,0,0,0,1,0,0,0,"Stephen Paea","yasp"
2495486,0,0,11,17,1,0,0,0,0,0,0,0,0,0,"Sealver Siliga","yasp"
2495677,0,0,14,10,2,1.5,0,0,0,0,0,0,0,0,"Brandon Mebane","yasp"
2505510,0,0,4,1,0,0,0,2,0,1,0,2,66,1,"Cory Redding","yasp"
2506816,0,0,13,12,3,1,0,1,0,0,0,0,0,0,"Tony McDaniel","yasp"
2507195,0,0,17,5,3,0,0,0,0,0,0,1,0,0,"Paul Soliai","yasp"
2508016,0,0,16,3,1,1,0,0,0,0,0,0,0,0,"Mitch Unrein","yasp"
2534761,0,0,8,3,2,3.5,0,1,0,0,1,1,0,0,"Ryan Davis","yasp"
2539224,0,0,14,8,1,1,0,0,0,0,1,0,0,0,"Cornellius Carradine","yasp"
2539285,0,0,14,8,0,0,0,0,0,0,0,1,0,0,"Stacy McGee","yasp"
2539292,0,0,12,12,3,0,0,1,0,0,0,1,0,0,"Jordan Hill","yasp"
2543554,0,0,13,10,1,0,0,0,0,0,0,0,0,0,"Ryan Carrethers","yasp"
2543747,0,0,12,15,1,0,0,0,0,0,0,0,0,0,"Taylor Hart","yasp"
2543812,0,0,19,3,2,0,0,1,0,0,0,0,0,0,"Justin Ellis","yasp"
2552327,0,0,13,11,4,1,0,0,0,0,0,0,0,0,"Grady Jarrett","yasp"
2552493,0,0,14,5,2,2,0,0,0,0,0,0,0,0,"Arik Armstead","yasp"
2552611,0,0,11,8,3,1.5,0,0,0,0,0,0,0,0,"Xavier Cooper","yasp"
2552670,0,0,8,7,2,2.5,0,0,0,0,1,0,0,0,"Angelo Blackson","yasp"
