"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
496937,0,0,76,52,11,2.5,0,5,0,1,0,0,0,0,"Sean Lee","yasp"
2495252,0,0,71,45,4,1,0,3,0,0,4,2,4,0,"K.J. Wright","yasp"
2495621,0,0,67,41,6,4.5,0,4,0,0,2,0,0,0,"David Harris","yasp"
2495712,0,0,103,30,13,1,0,6,0,3,0,0,25,0,"Paul Posluszny","yasp"
2495762,0,0,77,43,6,5,0,6,0,1,1,0,0,0,"Lawrence Timmons","yasp"
2499278,0,0,100,23,12,4,0,6,0,1,3,0,27,0,"Malcolm Smith","yasp"
2506029,0,0,72,49,7,3,0,3,0,1,0,0,-1,0,"Daryl Smith","yasp"
2506112,0,0,63,46,6,0,0,6,0,3,3,0,93,2,"Karlos Dansby","yasp"
2506352,3,0,75,30,8,5.5,0,7,0,4,4,1,22,0,"Thomas Davis","yasp"
2506353,0,0,95,21,8,4,0,8,0,2,2,0,23,0,"Derrick Johnson","yasp"
2506889,0,0,89,61,10,3,0,9,0,1,1,0,6,1,"DQwell Jackson","yasp"
2508088,0,0,117,38,7,2.5,0,2,0,0,1,0,0,0,"Navorro Bowman","yasp"
2514414,0,0,66,46,4,3,0,2,0,1,0,1,23,1,"Jerrell Freeman","yasp"
2532828,0,0,85,62,10,3,0,13,0,3,2,2,19,1,"Lavonte David","yasp"
2532898,0,0,77,25,9,1.5,0,4,0,1,2,0,0,0,"Brandon Marshall","yasp"
2532961,0,0,74,36,3,0,0,6,0,2,0,0,39,1,"Danny Trevathan","yasp"
2532966,0,0,67,47,2,0.5,0,7,0,0,2,3,45,2,"Bobby Wagner","yasp"
2533056,0,0,76,42,7,1,0,10,0,4,2,1,48,1,"Luke Kuechly","yasp"
2539311,0,0,51,38,8,5.5,0,6,1,1,5,1,65,1,"Jamie Collins","yasp"
2543463,0,0,57,20,23,15,0,2,0,0,2,0,0,0,"Khalil Mack","yasp"
2543464,0,0,77,40,13,4,0,7,0,0,1,2,41,1,"C.J. Mosley","yasp"
2543711,0,0,99,29,13,2.5,0,7,0,1,2,0,26,1,"Telvin Smith","yasp"
2543814,0,0,66,54,3,0,0,4,0,2,1,1,46,1,"Preston Brown","yasp"
2552321,0,0,69,42,5,1,0,5,0,1,2,1,36,1,"Stephone Anthony","yasp"
2552592,0,0,59,34,6,3,0,9,0,2,2,1,35,0,"Kwon Alexander","yasp"
2354,0,0,54,33,5,5,0,0,0,0,1,1,3,1,"Wesley Woodyard","yasp"
71249,0,0,68,21,5,2,0,5,0,1,0,0,0,0,"Jonathan Casillas","yasp"
79850,0,0,61,48,2,1,1,1,0,1,1,0,0,0,"James Laurinaitis","yasp"
80421,0,0,63,47,4,0,0,3,0,0,1,0,0,0,"Brian Cushing","yasp"
80431,0,0,49,17,13,6.5,0,3,0,1,0,1,42,0,"Clay Matthews","yasp"
496941,0,0,50,30,9,2,0,3,0,1,0,0,12,1,"Rolando McClain","yasp"
2495229,0,0,75,30,13,0,0,2,0,0,0,0,0,0,"Kelvin Sheppard","yasp"
2506881,0,0,55,13,5,2.5,0,1,0,1,0,0,91,1,"Chad Greenway","yasp"
2506921,0,0,74,34,9,1,0,1,0,0,1,2,0,0,"Stephen Tulloch","yasp"
2507843,0,0,64,34,3,1,0,5,0,1,0,0,0,0,"Vincent Rey","yasp"
2530491,0,0,56,26,5,0.5,0,5,0,0,1,0,0,0,"Josh Bynes","yasp"
2532331,0,0,62,23,3,0,0,1,0,1,0,0,0,0,"Michael Wilhoite","yasp"
2532870,0,0,52,13,14,10.5,0,6,0,0,3,1,0,0,"Melvin Ingram","yasp"
2532890,0,0,64,22,9,3,0,4,0,0,1,0,0,0,"Mychal Kendricks","yasp"
2533008,0,0,57,33,7,2,0,2,0,0,0,1,0,0,"Demario Davis","yasp"
2533058,0,0,57,17,6,1,0,5,0,2,0,0,16,0,"Vontaze Burfict","yasp"
2539277,0,0,63,20,4,0.5,0,2,0,1,1,0,11,0,"Manti Teo","yasp"
2540013,0,0,52,42,1,1,0,3,0,1,0,1,24,0,"Will Compton","yasp"
2540159,0,0,72,22,8,0.5,1,2,0,0,1,0,0,0,"Kevin Minter","yasp"
2541535,0,0,67,30,5,0,0,4,0,2,1,1,22,0,"Paul Worrilow","yasp"
2543459,0,0,54,14,4,3.5,0,7,0,1,3,0,32,0,"Anthony Barr","yasp"
2543486,0,0,54,33,10,3.5,0,4,0,1,2,1,0,0,"Ryan Shazier","yasp"
2543597,0,0,63,39,5,3.5,0,1,0,1,0,0,0,0,"Avery Williamson","yasp"
2550572,0,0,62,24,2,0,0,4,0,0,0,1,0,0,"Christian Jones","yasp"
2552312,0,0,73,20,8,4,0,1,0,0,0,0,0,0,"Eric Kendricks","yasp"
71197,0,0,44,10,9,7,0,7,0,0,1,0,0,0,"Connor Barwin","yasp"
71423,0,0,38,13,12,7,0,5,0,0,1,0,0,0,"Brian Orakpo","yasp"
79605,0,0,46,12,4,1,0,3,0,2,0,0,70,0,"Josh Mauga","yasp"
79840,0,0,48,18,5,1,0,0,0,0,4,1,0,0,"Jasper Brinkley","yasp"
79852,0,0,43,32,1,0,0,3,0,1,0,1,15,0,"Rey Maualuga","yasp"
496788,0,0,39,12,11,6.5,0,1,0,0,3,0,0,0,"Brandon Graham","yasp"
496820,0,0,59,18,8,0,0,1,0,0,0,0,0,0,"Koa Misi","yasp"
2495190,0,0,33,9,12,9.5,0,3,0,0,2,0,0,0,"Ryan Kerrigan","yasp"
2495201,0,0,41,11,9,6,0,3,1,1,0,0,13,0,"Pernell McPhee","yasp"
2495202,0,0,30,5,9,11,0,1,0,0,4,3,0,0,"Von Miller","yasp"
