"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"JAMAALCHARLES","JamaalCharles","RB","KC",1.78294341131774,0.973387007500328,1,0.973387007500328,1
"LESEANMCCOY","LeSeanMcCoy","RB","PHI",1.87882423515297,0.768019864228364,1,1.4826,2
"ADRIANPETERSON","AdrianPeterson","RB","MIN",2.43371325734853,0.706686103186814,1,0.706686103186814,3
"MATTFORTE","MattForte","RB","CHI",4.83603279344131,1.07582230817199,1,1.4826,5
"CALVINJOHNSON","CalvinJohnson","WR","DET",5.04389122175565,0.933427044155166,1,1.4826,5
"EDDIELACY","EddieLacy","RB","GB",5.98070385922815,1.14306470717568,1,1.14306470717568,7
"MARSHAWNLYNCH","MarshawnLynch","RB","SEA",8.21155768846231,1.2957108112811,1,1.4826,8
"DEMARYIUSTHOMAS","DemaryiusThomas","WR","DEN",8.6371725654869,0.696406078285227,1,1.4826,9
"JIMMYGRAHAM","JimmyGraham","TE","NO",9.35462907418516,4.73926861453183,1,4.4478,8
"ARIANFOSTER","ArianFoster","RB","HOU",13.1346730653869,4.14280620519075,1,4.4478,10
"MONTEEBALL","MonteeBall","RB","DEN",13.872725454909,2.93895120867789,1,2.9652,15
"PEYTONMANNING","PeytonManning","QB","DEN",14.2875424915017,4.88204049015464,1,5.9304,15
"DEMARCOMURRAY","DeMarcoMurray","RB","DAL",15.0778844231154,2.8628680029158,1,2.9652,15
"BRANDONMARSHALL","BrandonMarshall","WR","CHI",15.5322935412917,3.60426245545902,1,2.9652,14
"LEVEONBELL","LeVeonBell","RB","PIT",15.5441911617676,3.31282345903352,1,4.4478,14
"DEZBRYANT","DezBryant","WR","DAL",16.1522695460908,4.02769004758539,1,2.9652,17
"JULIOJONES","JulioJones","WR","ATL",16.2880423915217,3.49955572865654,1,1.4826,16
"GIOVANIBERNARD","GiovaniBernard","RB","CIN",16.8237352529494,6.05831281873708,1,2.9652,13
"AJGREEN","A.J.Green","WR","CIN",18.0133973205359,1.69950923585032,1,2.9652,18
"DOUGMARTIN","DougMartin","RB","TB",18.5566886622675,5.88891907025965,1,5.9304,22
"ALFREDMORRIS","AlfredMorris","RB","WAS",18.8255348930214,5.3043229779687,1,8.8956,18
"JORDYNELSON","JordyNelson","WR","GB",22.4860027994401,1.49352970378716,1,1.4826,22
"JULIUSTHOMAS","JuliusThomas","TE","DEN",24.4466106778644,7.91634588411738,1,5.9304,25
"DREWBREES","DrewBrees","QB","NO",25.4869026194761,5.63188304332164,1,4.4478,24
"ALSHONJEFFERY","AlshonJeffery","WR","CHI",25.6768646270746,5.18589175553641,1,5.18589175553641,23
"ZACSTACY","ZacStacy","RB","STL",25.9186162767447,3.12640335291761,1,2.9652,27
"AARONRODGERS","AaronRodgers","QB","GB",25.9341131773645,5.93105726783656,1,2.9652,27
"RANDALLCOBB","RandallCobb","WR","GB",30.5887822435513,4.12895402137655,1,1.4826,29
"ANTONIOBROWN","AntonioBrown","WR","PIT",31.0374925014997,8.50269748049108,1,14.826,28
"ROBGRONKOWSKI","RobGronkowski","TE","NE",31.1812637472506,3.8239736669024,1,4.4478,30
"ANDREELLINGTON","AndreEllington","RB","ARI",32.2117576484703,4.33138241704536,1,1.4826,30
"CJSPILLER","C.J.Spiller","RB","BUF",32.2968406318736,6.298015680851,1,4.4478,36
"REGGIEBUSH","ReggieBush","RB","DET",33.2042591481704,7.85602941289142,1,2.9652,37
"KEENANALLEN","KeenanAllen","WR","SD",35.6499700059988,2.79280764136165,1,1.4826,36
"BISHOPSANKEY","BishopSankey","RB","TEN",35.7196560687862,5.14835323259651,1,5.9304,38
"VINCENTJACKSON","VincentJackson","WR","TB",35.7904419116177,5.71615335551424,1,2.9652,38
"WESWELKER","WesWelker","WR","DEN",36.6098780243951,5.03803892615935,1,1.4826,34
"PIERREGARCON","PierreGarcon","WR","WAS",36.875924815037,4.53669969307376,1,2.9652,36
"PERCYHARVIN","PercyHarvin","WR","SEA",37.1136772645471,5.35765848525049,1,5.9304,35
"LARRYFITZGERALD","LarryFitzgerald","WR","ARI",39.4080183963207,5.98404602353461,1,5.9304,42
"ANDREJOHNSON","AndreJohnson","WR","HOU",40.7566486702659,8.77211908714279,1,11.8608,41
"VICTORCRUZ","VictorCruz","WR","NYG",42.2644471105779,7.73394933665963,1,2.9652,42
"RYANMATHEWS","RyanMathews","RB","SD",44.3200359928014,7.35853529410146,1,4.4478,44
"VERNONDAVIS","VernonDavis","TE","SF",46.0960807838432,7.43797918007602,1,7.413,46
"MATTHEWSTAFFORD","MatthewStafford","QB","DET",47.1530693861228,7.48684578384018,1,5.9304,48
"FRANKGORE","FrankGore","RB","SF",47.8833233353329,6.80658878353515,1,2.9652,47
"DESEANJACKSON","DeSeanJackson","WR","WAS",48.2369526094781,8.81400440005548,1,14.826,47
"BENTATE","BenTate","RB","CLE",49.1780643871226,7.27849497380778,1,11.8608,50
"TOBYGERHART","TobyGerhart","RB","JAC",50.00549890022,6.19521038326218,1,5.9304,50
"ANDREWLUCK","AndrewLuck","QB","IND",51.0481903619276,10.3367592777097,1,8.8956,53
"MICHAELCRABTREE","MichaelCrabtree","WR","SF",51.5399920015997,5.14462861629254,1,2.9652,49
"CHRISJOHNSON","ChrisJohnson","RB","NYJ",52.6918616276745,4.43671762762952,1,7.413,53
