analystPosId,analystId,positionId,season,weekly
1,1,1,1,1
2,1,2,1,1
3,1,3,1,1
4,1,4,1,1
5,1,5,1,1
6,1,6,1,1
7,2,1,1,1
8,2,2,1,1
9,2,3,1,1
10,2,4,1,1
11,2,5,1,1
12,2,6,1,1
13,3,1,1,1
14,3,2,1,1
15,3,3,1,1
16,3,4,1,1
17,3,5,1,1
18,3,6,1,1
19,4,1,1,1
20,4,2,1,1
21,4,3,1,1
22,4,4,1,1
25,5,1,1,1
26,5,2,1,1
27,5,3,1,1
28,5,4,1,1
29,5,5,1,1
30,5,6,1,1
31,6,1,1,1
32,6,2,1,1
33,6,3,1,1
34,6,4,1,1
35,6,5,1,1
36,6,6,1,1
37,7,1,1,1
38,7,2,1,1
39,7,3,1,1
40,7,4,1,1
41,7,5,1,1
42,7,6,1,1
43,8,1,1,1
44,8,2,1,1
45,8,3,1,1
46,8,4,1,1
47,8,5,1,1
48,8,6,1,1
49,9,1,1,1
50,9,2,1,1
51,9,3,1,1
52,9,4,1,1
53,9,5,1,1
54,9,6,1,1
55,10,1,0,1
56,10,2,0,1
57,10,3,0,1
58,10,4,0,1
59,10,5,0,1
60,10,6,0,1
61,11,1,1,0
62,11,2,1,0
63,11,3,1,0
64,11,4,1,0
65,11,5,1,0
66,11,6,1,0
67,12,1,1,1
68,12,2,1,1
69,12,3,1,1
70,12,4,1,1
71,12,5,1,1
72,12,6,1,1
73,20,1,1,0
74,20,2,1,0
75,20,3,1,0
76,20,4,1,0
77,20,5,1,0
85,22,7,1,0
86,22,8,1,0
87,22,9,1,0
91,23,7,1,0
92,23,8,1,0
93,23,9,1,0
97,13,5,1,1
98,14,1,1,0
99,14,2,1,0
100,14,3,1,0
101,14,4,1,0
102,15,1,1,0
103,15,2,1,0
104,15,3,1,0
105,15,4,1,0
106,16,1,0,1
107,16,2,0,1
108,16,3,0,1
109,16,4,0,1
110,7,7,1,0
111,7,8,1,0
112,7,9,1,0
121,19,1,1,1
131,19,2,1,1
141,19,3,1,1
151,19,4,1,1
161,19,5,1,1
171,19,6,1,1
172,17,1,1,1
173,17,2,1,1
174,17,3,1,1
175,17,4,1,1
176,10,7,0,1
177,10,8,0,1
178,10,9,0,1
179,18,1,1,1
180,18,2,1,1
181,18,3,1,1
182,18,4,1,1
183,18,5,1,1
184,18,6,1,1
185,18,7,1,1
186,18,8,1,1
187,18,9,1,1
188,25,1,1,1
189,25,2,1,1
190,25,3,1,1
191,25,4,1,1
192,26,1,1,1
193,26,2,1,1
194,26,3,1,1
195,26,4,1,1
196,26,5,1,1
197,26,7,1,1
198,26,8,1,1
199,26,9,1,1
200,8,7,1,1
201,8,8,1,1
202,8,9,1,1
203,3,7,1,1
204,3,8,1,1
205,3,9,1,1
206,-1,1,1,1
207,-1,2,1,1
208,-1,3,1,1
209,-1,4,1,1
210,-1,5,1,1
211,-1,6,1,1
212,27,1,1,0
213,27,2,1,0
214,27,3,1,0
215,27,4,1,0
216,27,5,1,0
217,25,5,1,1
,2,7,1,1
,2,8,1,1
,2,9,1,1
