"dataColId","columnName","columnType"
1,"actRank","character"
2,"age","numeric"
3,"dstBlkFg","numeric"
4,"dstBlk","numeric"
5,"dstBlkPAT","numeric"
6,"dstBlkPunt","numeric"
7,"bye","character"
8,"passCompAtt","character"
10,"dstInt","numeric"
11,"dstRank","character"
13,"dstSack","numeric"
14,"dstSafety","numeric"
15,"dstTd","numeric"
16,"exp","numeric"
17,"fg0019","numeric"
18,"fg2029","numeric"
19,"fg3039","numeric"
20,"fg4049","numeric"
21,"fg50","numeric"
22,"fgAtt","numeric"
23,"fg","numeric"
24,"fgMiss","numeric"
25,"fgPct","numeric"
27,"points","numeric"
28,"dstFumlForce","numeric"
29,"fumbles","numeric"
30,"dstFumlRec","numeric"
31,"fumbleTds","numeric"
32,"fp","numeric"
33,"dstKickRetTds","numeric"
34,"nmfCI","character"
35,"opponen","character"
36,"ovrRank","numeric"
37,"passAtt","numeric"
38,"passComp","numeric"
39,"passCompPct","numeric"
40,"passInt","numeric"
41,"rec","numeric"
42,"passTds","numeric"
43,"recTgt","numeric"
45,"passYdsPerAtt","numeric"
46,"passYds","FormattedNumber"
47,"dstPassYdsPerGm","numeric"
48,"ownedPct","character"
49,"player","character"
50,"posRank","numeric"
51,"proj","character"
52,"dstPtsAllow","numeric"
54,"dstPuntRetTds","numeric"
55,"rank","numeric"
56,"recYdsPerRec","numeric"
57,"recTds","numeric"
58,"returnTds","numeric"
59,"recYds","FormattedNumber"
60,"rushAtt","numeric"
61,"rushYdsPerAtt","numeric"
62,"rushTds","numeric"
63,"rushYds","FormattedNumber"
64,"dstRetTd","numeric"
65,"dstRushYdsPerGm","numeric"
66,"status","character"
67,"dstFumbles","numeric"
68,"team","character"
69,"twoPts","numeric"
70,"V1","numeric"
71,"V10","numeric"
72,"V11","character"
73,"V12","numeric"
74,"V13","numeric"
75,"V14","character"
76,"V15","numeric"
77,"V16","numeric"
78,"V17","character"
79,"V18","numeric"
80,"V19","numeric"
81,"V2","character"
82,"V20","character"
