playerId,player,position,team,status,yahooId,fbgId,cbsId,foxId,fftId,birthdate,draftYear
182,"Xavier Adibi",LB,NULL,HIS,8895,AdibXa99,516499,NULL,NULL,"1984-10-18 01:00:00",2008
184,"Donnie Avery",WR,FA,UFA,8810,AverDo00,405833,3693,2889,"1984-06-12 01:00:00",2008
188,"Kentwan Balmer",DE,NULL,HIS,8806,BalmKe99,504454,NULL,NULL,"1986-10-15 01:00:00",2008
190,"Beau Bell",LB,NULL,HIS,8881,BellBe99,1615550,NULL,NULL,"1986-05-26 01:00:00",2008
196,"Colt Brennan",QB,NULL,HIS,NULL,BrenCo00,NULL,NULL,NULL,NULL,NULL
198,"Brian Brohm",QB,GB,HIS,8833,BrohBr00,522786,NULL,NULL,"1985-09-23 01:00:00",2008
200,"Red Bryant",DE,FA,UFA,8901,BryaRe99,559795,NULL,8722,"1984-04-18 01:00:00",2008
202,"Keenan Burton",WR,NULL,HIS,8918,BurtKe00,407592,NULL,NULL,"1984-10-29 01:00:00",2008
204,"Ezra Butler",LB,NULL,HIS,9794,ButlEz99,NULL,NULL,NULL,NULL,NULL
206,"Andre Caldwell",WR,DEN,ACT,8874,CaldAn00,407741,3687,2900,"1985-04-15 01:00:00",2008
208,"Antoine Cason",CB,FA,UFA,8804,CasoAn99,504438,NULL,8726,"1986-07-09 01:00:00",2008
212,"Dan Connor",LB,NULL,HIS,8851,ConnDa99,517486,NULL,NULL,"1985-11-02 01:00:00",2008
214,"Shawn Crable",LB,NULL,HIS,8855,CrabSh99,408882,NULL,NULL,"1984-12-26 00:00:00",2008
216,"Fred Davis",TE,NE,ACT,8825,DaviFr01,504530,NULL,NULL,"1986-01-15 00:00:00",2008
218,"Glenn Dorsey",NT,SF,ACT,8782,DorsGl99,518156,NULL,8738,"1985-08-01 01:00:00",2008
220,"Early Doucet",WR,ARI,HIS,8858,DoucEa00,518127,NULL,NULL,"1985-10-28 01:00:00",2008
222,"Harry Douglas",WR,TEN,ACT,8861,DougHa00,436547,3696,2909,"1984-09-16 01:00:00",2008
224,"Jo-Lonn Dunbar",OLB,STL,ACT,9111,DunbJo99,1616289,NULL,8854,"1985-03-13 01:00:00",2008
226,"Chris Ellis",DE,NULL,HIS,8849,ElliCh99,431547,NULL,NULL,"1985-02-11 00:00:00",2008
228,"Sedrick Ellis",DL,NULL,HIS,8785,ElliSe99,410202,NULL,NULL,"1985-07-09 01:00:00",2008
230,"Jerome Felton",RB,BUF,ACT,8912,FeltJe00,1249642,3727,NULL,"1986-07-03 01:00:00",2008
234,"Matt Forte",RB,CHI,ACT,8821,FortMa00,559687,3750,2916,"1985-12-10 00:00:00",2008
240,"Quentin Groves",OLB,FA,UFA,8829,GrovQu99,411852,NULL,NULL,"1984-07-05 01:00:00",2008
242,"D.J. Hall",WR,NULL,HIS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,"Vince Hall",LB,NULL,HIS,NULL,HallVi99,NULL,NULL,NULL,NULL,NULL
246,"Mike Hart",RB,NULL,HIS,8979,HartMi00,517290,NULL,NULL,"1986-04-09 01:00:00",2008
248,"Lavelle Hawkins",WR,TB,CUT,8914,HawkLa00,559551,3745,2922,"1986-07-12 01:00:00",2008
250,"Joey Haynos",TE,MIA,HIS,9129,HaynJo00,502710,NULL,NULL,"1984-08-28 01:00:00",2008
252,"Chad Henne",QB,JAC,ACT,8834,HennCh01,517291,3738,2923,"1985-07-02 01:00:00",2008
254,"Ali Highsmith",LB,NULL,HIS,9040,NULL,502536,NULL,NULL,"1985-01-20 00:00:00",2008
256,"Lex Hilliard",RB,FA,HIS,8981,HillLe00,1615580,NULL,NULL,"1984-07-30 01:00:00",2008
262,"Chris Johnson",RB,FA,UFA,8801,JohnCh04,523490,3757,2932,"1985-09-23 01:00:00",2008
264,"Josh Johnson",QB,CIN,ACT,8937,JohnJo05,1325808,3765,NULL,"1986-05-15 01:00:00",2008
270,"Kendall Langford",DE,IND,ACT,8843,LangKe98,1252360,NULL,8777,"1986-01-27 00:00:00",2008
272,"Spencer Larsen",LB,DEN,HIS,8960,LarsSp00,556832,NULL,NULL,"1984-03-04 00:00:00",2008
276,"Chris Long",DE,STL,ACT,8779,LongCh99,515627,NULL,8782,"1985-03-28 01:00:00",2008
280,"Dwight Lowery",DB,IND,ACT,8890,LoweDw99,1139141,NULL,NULL,"1986-01-23 00:00:00",2008
284,"Darren McFadden",RB,DAL,ACT,8781,McFaDa00,565805,3778,2940,"1987-08-27 01:00:00",2008
