"siteTableId","positionQryId","siteId","positionId","startPage","endPage","stepPage","season","weekly"
1,"QB",1,1,1,1,1,1,1
2,"RB",1,2,1,1,1,1,1
3,"WR",1,3,1,1,1,1,1
4,"TE",1,4,1,1,1,1,1
5,"K",1,5,1,1,1,1,1
6,"DST",1,6,1,1,1,1,1
7,"QB",2,1,0,125,25,1,1
8,"RB",2,2,0,275,25,1,1
9,"WR",2,3,0,425,25,1,1
10,"TE",2,4,0,225,25,1,1
11,"K",2,5,0,50,25,1,1
12,"DEF",2,6,0,25,25,1,1
13,"0",3,1,0,160,40,1,1
14,"2",3,2,0,400,40,1,1
15,"4",3,3,0,520,40,1,1
16,"6",3,4,0,280,40,1,1
17,"1",4,1,1,76,25,1,1
18,"2",4,2,1,201,25,1,1
19,"3",4,3,1,251,25,1,1
20,"4",4,4,1,126,25,1,1
21,"7",4,5,1,26,25,1,1
22,"8",4,6,1,26,25,1,1
23,"8",5,1,1,6,1,1,1
24,"16",5,2,1,12,1,1,1
25,"1",5,3,1,18,1,1,1
26,"4",5,4,1,9,1,1,1
27,"64",5,5,1,3,1,1,1
28,"32768",5,6,1,2,1,1,1
29,"10",6,1,0,0,1,1,1
30,"20",6,2,0,1,1,1,1
31,"30",6,3,0,2,1,1,1
32,"40",6,4,0,1,1,1,1
33,"80",6,5,0,0,1,1,1
34,"99",6,6,0,0,1,1,1
35,"qb",7,1,1,1,1,0,1
36,"rb",7,2,1,1,1,0,1
37,"wr",7,3,1,1,1,0,1
38,"te",7,4,1,1,1,0,1
39,"k",7,5,1,1,1,0,1
40,"d",7,6,1,1,1,0,1
41,"qb",8,1,1,1,1,1,1
42,"rb",8,2,1,1,1,1,1
43,"wr",8,3,1,1,1,1,1
44,"te",8,4,1,1,1,1,1
45,"k",8,5,1,1,1,1,1
46,"qb",9,1,1,1,1,1,1
47,"rb",9,2,1,1,1,1,1
48,"wr",9,3,1,1,1,1,1
49,"te",9,4,1,1,1,1,1
50,"pk",9,5,1,1,1,1,1
51,"td",9,6,1,1,1,1,1
52,"50",6,7,0,1,1,1,1
53,"60",6,8,0,2,1,1,1
54,"70",6,9,0,2,1,1,1
61,"QB",12,1,1,1,1,1,1
71,"RB",12,2,1,1,1,1,1
81,"WR",12,3,1,1,1,1,1
91,"TE",12,4,1,1,1,1,1
101,"K",12,5,1,1,1,1,1
111,"DEF",12,6,1,1,1,1,1
112,"qb",10,1,1,1,1,1,1
113,"rb",10,2,1,1,1,1,1
114,"wr",10,3,1,1,1,1,1
115,"te",10,4,1,1,1,1,1
116,"dl",9,7,1,1,1,1,1
117,"lb",9,8,1,1,1,1,1
118,"db",9,9,1,1,1,1,1
119,"1",11,1,1,1,1,1,1
120,"2",11,2,1,1,1,1,1
121,"4",11,3,1,1,1,1,1
122,"5",11,4,1,1,1,1,1
123,"7",11,5,1,1,1,1,1
124,"6",11,6,1,1,1,1,1
125,"8",11,7,1,1,1,1,1
126,"9",11,8,1,1,1,1,1
127,"10",11,9,1,1,1,1,1
128,"QBs",13,1,1,1,1,1,0
129,"RBs",13,2,1,1,1,1,0
130,"WRs",13,3,1,1,1,1,0
131,"TEs",13,4,1,1,1,1,0
132,"Ks",13,5,1,1,1,1,0
133,"QB",16,1,1,1,1,1,1
134,"RB",16,2,1,1,1,1,1
135,"WR",16,3,1,1,1,1,1
136,"TE",16,4,1,1,1,1,1
137,"QB",17,1,1,1,1,1,1
138,"RB",17,2,1,1,1,1,1
139,"WR",17,3,1,1,1,1,1
140,"TE",17,4,1,1,1,1,1
141,"K",17,5,1,1,1,1,1
142,"IDP",17,7,1,1,1,1,0
143,"IDP",17,8,1,1,1,1,0
144,"IDP",17,9,1,1,1,1,0
145,"idp",7,7,1,1,1,1,0
146,"idp",7,8,1,1,1,1,0
147,"idp",7,9,1,1,1,1,0
148,"qb",7,1,1,1,1,1,0
149,"rb",7,2,1,1,1,1,0
150,"wr",7,3,1,1,1,1,0
151,"te",7,4,1,1,1,1,0
152,"k",7,5,1,1,1,1,0
153,"dst",7,6,1,1,1,1,0
154,"DL",2,7,0,450,25,1,1
155,"LB",2,8,0,475,25,1,1
156,"DB",2,9,0,575,25,1,1
157,"0",18,1,1,1,1,1,0
158,"1",18,2,1,1,1,1,0
159,"2",18,3,1,1,1,1,0
160,"3",18,4,1,1,1,1,0
161,"4",18,5,1,1,1,1,0
162,"K",16,5,1,1,1,1,1
163,"1",19,1,1,1,1,1,0
164,"2",19,2,1,1,1,1,0
165,"3",19,3,1,1,1,1,0
166,"4",19,4,1,1,1,1,0
167,"5",19,5,1,1,1,1,0
168,"6",19,6,1,1,1,1,0
