"urlID","siteID","siteUrl","urlPeriod","urlData","nameCol","whichTable","playerLinkString"
12,1,"http://www.cbssports.com/fantasy/football/stats/weeklyprojections/{$Pos}/{$WeekNo}/{$SrcID}/standard?&print_rows=9999","week","html",1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}"
13,2,"http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?status=A&pos={$Pos}&cut_type=9&stat1=S_PW_{$WeekNo}&myteam=0&sort=PTS&sdir=1&count={$PgeID}","week","html",2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}"
14,3,"http://games.espn.go.com/ffl/tools/projections?&slotCateryId={$PosID}&scoringPeriodId={$WeekNo}&seasonId={$Season}&startIndex={$PgeID}","week","html",1,2,NA
15,4,"http://fantasy.nfl.com/research/projections?position={$PosID}&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=weekProjectedStats&offset={$PgeID}&statweek={$WeekNo}","week","html",1,1,"playerId=[0-9]{3,7}$"
16,5,"http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position={$PosID}&split=4&playerSearchStatus=1","week","html",1,1,NA
17,6,"http://www.fftoday.com/rankings/playerwkproj.php?Season={$Season}&GameWeek={$WeekNo}&LeaugeID=1&PosID={$PosID}&cur_page={$PgeID}","week","html",2,11,"/stats/players/"""
18,7,"http://www.numberfire.com/nfl/fantasy/fantasy-football-projections/{$PosID}","week","html",1,1,NA
19,8,"https://www.fantasypros.com/nfl/projections/{$PosID}.php","week","html",1,2,NA
20,9,"http://subscribers.footballguys.com/myfbg/myweeklycheatsheet.php?who={$SrcID}&pos={$PosID}&profile=0&week={$WeekNo}","week","html",2,1,"player-all-info.php?"
21,10,"http://www.eatdrinkandsleepfootball.com/fantasy/projections/{$Season}/{$Pos}/","week","html",2,2,NA
22,11,"http://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment={$Segment}&Position={$PosID}&scoring=1&League=&uid=4&uid2=&printable=","week","csv",0,NA,NA
23,1,"http://www.cbssports.com/fantasy/football/stats/weeklyprojections/{$Pos}/season/{$SrcID}/standard?&print_rows=9999","season","html",1,1,"/fantasyfootball/players/playerpage/[0-9]{3,6}"
24,2,"http://football.fantasysports.yahoo.com/f1/{$YahooLeague}/players?&sort=PTS&sdir=1&status=A&pos={$Pos}&cut_type=9&stat1=S_PS_{$Season}&jsenabled=1&count={$PgeID}","season","html",2,2,"http://sports.yahoo.com/nfl/players/[0-9]{3,6}"
25,3,"http://games.espn.go.com/ffl/tools/projections?&slotCategoryId={$PosID}&startIndex={$PgeID}","season","html",2,2,NA
26,4,"http://fantasy.nfl.com/research/projections?position={$PosID}&sort=projectedPts&statCatery=projectedStats&statSeason={$Season}&statType=seasonProjectedStats&offset={$PgeID}","season","html",1,1,"playerId=[0-9]{3,7}$"
27,5,"http://www.foxsports.com/fantasy/football/commissioner/Research/Projections.aspx?page={$PgeID}&position={$PosID}&split=3&playerSearchStatus=1","season","html",1,1,"/fantasy/football/commissioner/Players/Profile.aspx"
28,6,"http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID={$PosID}&cur_page={$PgeID}","season","html",2,11,"/stats/players/"""
29,9,"http://subscribers.footballguys.com/myfbg/myviewprojections.php?projforwhat={$PosID}&projector={$SrcID}&profile=0","season","html",2,1,"player-all-info.php?"
30,10,"http://www.eatdrinkandsleepfootball.com/fantasy/projections/{$Season}/{$Pos}/","season","html",2,2,NA
31,11,"http://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Position={$PosID}&scoring=1&segment={$Segment}&uid=4","season","csv",0,NA,NA
32,14,"http://www.fftoday.com/rankings/playerproj.php?Season={$Season}&LeaugeID=1&PosID={$PosID}&cur_page={$PgeID}","season","html",2,11,"/stats/players/"""
41,12,"http://www.fantasyfootballnerd.com/service/weekly-projections/xml/{$FFNKEY}/{$Pos}/{$WeekNo}","week","xml",28,NA,NA
51,12,"http://www.fantasyfootballnerd.com/service/draft-projections/xml/{$FFNKEY}/{$Pos}","season","xml",10,NA,NA
52,15,"http://www.fantasysharks.com/apps/Projections/SeasonCSVIDPProjections.php","season","csv",0,NA,NA
53,13,"http://walterfootball.com/fantasy{$Season}rankingsexcel.xlsx","season","xls",0,NA,NA
54,16,"/4for4/4for4_{$Season}_{$WeekNo}.csv","season","csv",2,1,NA
56,17,"/Rotowire/Rotowire_{$Season}_{$WeekNo}_{$Pos}.csv","season","csv",1,1,NA
57,17,"/Rotowire/Rotowire_{$Season}_{$WeekNo}_{$Pos}.csv","week","csv",1,1,NA
58,7,"https://www.numberfire.com/nfl/fantasy/remaining-projections/{$Pos}","season","jqry",1,1,NA
59,18,"https://www.freedraftguide.com/football/draft-guide-rankings.php?POS={$PosID}","season","jqry",2,3,NA
60,16,"/4for4/4for4_{$Season}_{$WeekNo}.csv","week","csv",2,1,NA
61,8,"https://www.fantasypros.com/nfl/projections/{$PosID}.php?week=draft","season","html",1,1,NA
62,19,"https://fantasydata.com/nfl-stats/fantasy-football-weekly-projections.aspx?fs=0&stype=-1&sn=0&scope=0&w=-1&ew=-1&s=&t=0&p={$Pos}&st=FantasyPoints&d=1&ls=FantasyPoints&live=false&pid=false&minsnaps=4","season","html",2,1,NA
63,20,"/PFF/PFF_{$Season}_{$WeekNo}_{$Pos}.csv","season","csv",2,1,NA
64,20,"/PFF/PFF_{$Season}_{$WeekNo}_{$Pos}.csv","week","csv",2,1,NA
