"tableColumnID","dataColID","siteTableID","columnPeriod","columnOrder","removeColumn"
1,49,1,"season",1,0
2,37,1,"season",2,0
3,38,1,"season",3,0
4,46,1,"season",4,0
5,42,1,"season",5,0
6,40,1,"season",6,0
7,39,1,"season",7,1
8,45,1,"season",8,1
9,60,1,"season",9,0
10,63,1,"season",10,0
11,61,1,"season",11,1
12,62,1,"season",12,0
13,29,1,"season",13,0
14,27,1,"season",14,1
15,49,1,"week",1,0
16,37,1,"week",2,0
17,38,1,"week",3,0
18,46,1,"week",4,0
19,42,1,"week",5,0
20,40,1,"week",6,0
21,39,1,"week",7,1
22,45,1,"week",8,1
23,60,1,"week",9,0
24,63,1,"week",10,0
25,61,1,"week",11,1
26,62,1,"week",12,0
27,29,1,"week",13,0
28,27,1,"week",14,1
29,49,2,"season",1,0
30,60,2,"season",2,0
31,63,2,"season",3,0
32,61,2,"season",4,1
33,62,2,"season",5,0
34,41,2,"season",6,0
35,59,2,"season",7,0
36,56,2,"season",8,1
37,57,2,"season",9,0
38,29,2,"season",10,0
39,27,2,"season",11,1
40,49,2,"week",1,0
41,60,2,"week",2,0
42,63,2,"week",3,0
43,61,2,"week",4,1
44,62,2,"week",5,0
45,41,2,"week",6,0
46,59,2,"week",7,0
47,56,2,"week",8,1
48,57,2,"week",9,0
49,29,2,"week",10,0
50,27,2,"week",11,1
51,49,3,"season",1,0
52,41,3,"season",2,0
53,59,3,"season",3,0
54,56,3,"season",4,1
55,57,3,"season",5,0
56,29,3,"season",6,0
57,27,3,"season",7,1
58,49,3,"week",1,0
59,41,3,"week",2,0
60,59,3,"week",3,0
61,56,3,"week",4,1
62,57,3,"week",5,0
63,29,3,"week",6,0
64,27,3,"week",7,1
65,49,4,"season",1,0
66,41,4,"season",2,0
67,59,4,"season",3,0
68,56,4,"season",4,1
69,57,4,"season",5,0
70,29,4,"season",6,0
71,27,4,"season",7,1
72,49,4,"week",1,0
73,41,4,"week",2,0
74,59,4,"week",3,0
75,56,4,"week",4,1
76,57,4,"week",5,0
77,29,4,"week",6,0
78,27,4,"week",7,1
79,49,5,"season",1,0
80,23,5,"season",2,0
81,22,5,"season",3,0
82,99,5,"season",4,0
83,27,5,"season",5,1
84,49,5,"week",1,0
85,23,5,"week",2,0
86,22,5,"week",3,0
87,99,5,"week",4,0
88,27,5,"week",5,1
89,49,6,"season",1,0
90,10,6,"season",2,0
91,30,6,"season",3,0
92,28,6,"season",4,1
93,13,6,"season",5,0
94,15,6,"season",6,0
95,14,6,"season",7,0
96,52,6,"season",8,0
97,101,6,"season",9,1
98,27,6,"season",10,1
99,49,6,"week",1,0
100,10,6,"week",2,0
101,30,6,"week",3,0
102,28,6,"week",4,1
103,13,6,"week",5,0
104,15,6,"week",6,0
105,14,6,"week",7,0
106,52,6,"week",8,0
107,101,6,"week",9,1
108,27,6,"week",10,1
109,49,7,"season",2,1
111,95,7,"season",3,1
112,96,7,"season",4,1
114,27,7,"season",7,1
115,48,7,"season",8,1
116,51,7,"season",9,1
117,235,7,"season",13,0
118,46,7,"season",14,0
119,42,7,"season",15,0
120,245,7,"season",18,0
121,60,7,"season",19,0
122,63,7,"season",20,0
123,251,7,"season",22,1
124,246,7,"season",23,0
125,160,7,"season",24,0
126,43,7,"season",25,0
127,57,7,"season",28,0
128,252,7,"season",29,0
129,247,7,"season",30,0
130,94,7,"week",1,1
131,49,7,"week",2,0
132,95,7,"week",3,1
133,96,7,"week",4,1
134,7,7,"week",6,1
135,27,7,"week",7,1
136,48,7,"week",8,1
137,51,7,"week",9,1
138,235,7,"week",13,0
139,46,7,"week",14,0
140,42,7,"week",15,0
141,245,7,"week",18,0
142,60,7,"week",19,0
143,63,7,"week",20,0
144,251,7,"week",22,1
145,246,7,"week",23,0
146,160,7,"week",24,0
147,43,7,"week",25,0
148,57,7,"week",28,0
149,247,7,"week",30,0
150,252,7,"week",29,0
151,94,8,"season",1,1
152,49,8,"season",2,0
153,95,8,"season",3,1
154,96,8,"season",4,1
155,7,8,"season",6,1
156,27,8,"season",7,1
157,48,8,"season",8,1
158,51,8,"season",9,1
159,235,8,"season",13,0
160,46,8,"season",14,0
161,42,8,"season",15,0
162,245,8,"season",18,0
163,60,8,"season",19,0
164,63,8,"season",20,0
165,251,8,"season",22,1
166,246,8,"season",23,0
167,160,8,"season",24,0
168,43,8,"season",25,0
169,57,8,"season",28,0
170,252,8,"season",29,0
171,247,8,"season",30,0
172,94,8,"week",1,1
173,49,8,"week",2,0
174,95,8,"week",3,1
175,96,8,"week",4,1
176,7,8,"week",6,1
177,27,8,"week",7,1
178,48,8,"week",8,1
179,51,8,"week",9,1
180,235,8,"week",13,0
181,46,8,"week",14,0
182,42,8,"week",15,0
183,245,8,"week",18,0
184,60,8,"week",19,0
185,63,8,"week",20,0
186,251,8,"week",22,1
187,246,8,"week",23,0
188,160,8,"week",24,0
189,43,8,"week",25,0
190,57,8,"week",28,0
191,252,8,"week",29,0
192,247,8,"week",30,0
193,94,9,"season",1,1
194,49,9,"season",2,0
195,95,9,"season",3,1
196,96,9,"season",4,1
197,7,9,"season",6,1
198,27,9,"season",7,1
199,48,9,"season",8,1
200,51,9,"season",9,1
201,235,9,"season",13,0
202,46,9,"season",14,0
203,42,9,"season",15,0
204,245,9,"season",18,0
205,60,9,"season",19,0
206,63,9,"season",20,0
207,251,9,"season",22,1
208,246,9,"season",23,0
209,160,9,"season",24,0
210,43,9,"season",25,0
211,57,9,"season",28,0
212,252,9,"season",29,0
213,247,9,"season",30,0
214,94,9,"week",1,1
215,49,9,"week",2,0
216,95,9,"week",3,1
217,96,9,"week",4,1
218,7,9,"week",6,1
219,27,9,"week",7,1
220,48,9,"week",8,1
221,51,9,"week",9,1
222,235,9,"week",13,0
223,46,9,"week",14,0
224,42,9,"week",15,0
225,245,9,"week",18,0
226,60,9,"week",19,0
227,63,9,"week",20,0
228,251,9,"week",22,1
229,246,9,"week",23,0
230,160,9,"week",24,0
231,43,9,"week",25,0
232,57,9,"week",28,0
233,252,9,"week",29,0
234,247,9,"week",30,0
235,94,10,"season",1,1
236,49,10,"season",2,0
237,95,10,"season",3,1
238,96,10,"season",4,1
239,7,10,"season",6,1
240,27,10,"season",7,1
241,48,10,"season",8,1
242,51,10,"season",9,1
243,235,10,"season",13,0
244,46,10,"season",14,0
245,42,10,"season",15,0
246,245,10,"season",18,0
247,60,10,"season",19,0
248,63,10,"season",20,0
249,251,10,"season",22,1
250,246,10,"season",23,0
251,160,10,"season",24,0
252,43,10,"season",25,0
253,57,10,"season",28,0
254,252,10,"season",29,0
255,247,10,"season",30,0
