position,positionRank,player,team,teams4,teams6,teams8,teams10,teams12,teams14,teams16,teams18,teams20
QB,1,Andrew Luck,IND,34,43,46,47,48,49,50,54,61
QB,2,Aaron Rodgers,GB,29,38,41,43,44,46,47,51,58
QB,3,Russell Wilson,SEA,10,17,22,26,29,32,34,38,47
QB,4,Peyton Manning,DEN,6,12,17,21,24,28,30,35,44
QB,5,Cam Newton,CAR,1,6,12,15,19,22,25,30,40
QB,6,Drew Brees,NO,1,6,12,15,19,22,25,30,40
QB,7,Ben Roethlisberger,PIT,,4,9,12,16,19,22,27,37
QB,8,Matt Ryan,ATL,,3,7,11,15,18,21,26,36
QB,9,Tony Romo,DAL,,1,5,8,13,16,18,23,34
QB,10,Ryan Tannehill,MIA,,,5,8,12,15,18,23,33
QB,11,Eli Manning,NYG,,,4,7,10,14,17,22,32
QB,12,Philip Rivers,SD,,,1,4,7,11,14,19,30
QB,13,Colin Kaepernick,SF,,,,4,7,11,14,19,30
QB,14,Matthew Stafford,DET,,,,4,7,10,13,19,30
QB,15,Teddy Bridgewater,MIN,,,,2,5,9,11,17,28
QB,16,Joe Flacco,BAL,,,,1,3,7,9,14,26
QB,17,Jay Cutler,CHI,,,,,2,6,8,13,24
QB,18,Carson Palmer,ARI,,,,,2,6,7,13,24
QB,19,Alex Smith,KC,,,,,1,4,6,11,22
QB,20,Tom Brady,NE,,,,,,2,4,9,20
QB,21,Andy Dalton,CIN,,,,,,1,4,9,20
QB,22,Jameis Winston,TB,,,,,,1,3,8,19
QB,23,Marcus Mariota,TEN,,,,,,,2,7,18
QB,24,Robert Griffin,WAS,,,,,,,2,7,18
QB,25,Sam Bradford,PHI,,,,,,,1,6,17
QB,26,Derek Carr,OAK,,,,,,,1,6,17
QB,27,Blake Bortles,JAC,,,,,,,,5,16
QB,28,Nick Foles,STL,,,,,,,,4,14
QB,29,Josh McCown,CLE,,,,,,,,1,9
QB,30,Matt Cassel,BUF,,,,,,,,,2
QB,31,Ryan Mallett,HOU,,,,,,,,,1
QB,32,Ryan Fitzpatrick,NYJ,,,,,,,,,1
RB,1,Jamaal Charles,KC,31,41,47,52,55,56,56,55,51
RB,2,Marshawn Lynch,SEA,28,38,45,50,53,54,54,54,49
RB,3,Adrian Peterson,MIN,28,38,44,50,53,54,54,54,49
RB,4,Eddie Lacy,GB,27,37,44,49,52,53,53,53,49
RB,5,Arian Foster,HOU,23,32,39,46,49,50,50,50,46
RB,6,C.J. Anderson,DEN,21,31,38,44,48,49,49,49,45
RB,7,Matt Forte,CHI,20,29,36,43,46,47,48,48,44
RB,8,Le'Veon Bell,PIT,20,29,36,43,46,47,48,48,44
RB,9,DeMarco Murray,PHI,16,24,32,37,41,43,43,44,41
RB,10,LeSean McCoy,BUF,14,21,29,34,39,40,41,42,39
RB,11,Jeremy Hill,CIN,13,20,28,34,38,39,40,41,38
RB,12,Justin Forsett,BAL,8,14,22,28,31,33,35,36,33
RB,13,Mark Ingram,NO,7,11,19,26,29,31,32,34,32
RB,14,Alfred Morris,WAS,5,9,16,23,26,28,30,31,30
RB,15,Lamar Miller,MIA,5,8,15,22,25,28,30,31,29
RB,16,Frank Gore,IND,5,8,15,21,25,27,29,31,29
RB,17,Carlos Hyde,SF,4,7,14,21,24,26,28,30,28
RB,18,Melvin Gordon,SD,4,7,14,20,24,26,28,30,28
RB,19,T.J. Yeldon,JAC,2,5,10,16,19,22,24,26,25
RB,20,Latavius Murray,OAK,1,4,9,14,18,21,23,25,24
RB,21,Andre Ellington,ARI,,4,9,14,18,21,23,25,24
RB,22,Joique Bell,DET,,4,8,13,17,20,23,25,23
RB,23,Joseph Randle,DAL,,4,8,13,17,20,22,24,23
RB,24,Jonathan Stewart,CAR,,4,8,13,16,19,22,24,23
RB,25,LeGarrette Blount,NE,,3,8,13,16,19,21,23,22
RB,26,Tevin Coleman,ATL,,2,7,11,15,17,19,21,21
RB,27,Isaiah Crowell,CLE,,2,6,10,14,16,19,21,20
RB,28,Todd Gurley,STL,,2,6,10,14,15,18,20,20
RB,29,Rashad Jennings,NYG,,1,5,9,13,15,17,19,19
RB,30,Giovani Bernard,CIN,,1,5,9,13,14,17,19,19
RB,31,C.J. Spiller,NO,,,5,8,12,14,16,19,18
RB,32,Shane Vereen,NYG,,,4,7,10,12,13,16,16
RB,33,Chris Ivory,NYJ,,,3,7,10,11,13,15,15
RB,34,Ameer Abdullah,DET,,,3,6,8,10,12,14,14
RB,35,Devonta Freeman,ATL,,,2,6,7,9,11,12,12
RB,36,Charles Sims,TB,,,2,5,7,9,10,12,12
RB,37,Darren McFadden,DAL,,,2,5,6,8,10,11,12
RB,38,Doug Martin,TB,,,1,5,6,8,10,11,12
RB,39,Bishop Sankey,TEN,,,1,5,6,8,10,11,12
RB,40,David Johnson,ARI,,,1,5,6,8,9,11,11
RB,41,Tre Mason,STL,,,,4,5,6,8,9,10
RB,42,Ryan Mathews,PHI,,,,4,5,6,7,9,9
RB,43,Danny Woodhead,SD,,,,3,5,5,7,9,9
RB,44,Fred Jackson,BUF,,,,3,4,5,6,8,8
RB,45,Jay Ajayi,MIA,,,,2,4,4,5,7,8
RB,46,Duke Johnson,CLE,,,,2,4,4,5,7,7
RB,47,Knile Davis,KC,,,,2,3,4,5,7,7
RB,48,Darren Sproles,PHI,,,,2,3,4,4,6,7
RB,49,Reggie Bush,SF,,,,1,3,4,4,6,7
RB,50,David Cobb,TEN,,,,1,3,3,4,5,6
RB,51,Roy Helu,OAK,,,,,2,3,3,4,5
RB,52,Terrance West,CLE,,,,,2,3,3,4,5
RB,53,Montee Ball,DEN,,,,,2,2,3,4,5
RB,54,Lorenzo Taliaferro,BAL,,,,,2,2,3,4,4
RB,55,Javorius Allen,BAL,,,,,1,2,3,3,4
RB,56,Andre Williams,NYG,,,,,1,2,3,3,4
RB,57,Stevan Ridley,NYJ,,,,,1,2,3,3,4
RB,58,DeAngelo Williams,PIT,,,,,1,2,3,3,4
RB,59,James Starks,GB,,,,,1,2,3,3,4
RB,60,Matt Jones,WAS,,,,,1,2,3,3,4
RB,61,Ray Rice,,,,,,,2,2,3,3
RB,62,Denard Robinson,JAC,,,,,,2,2,3,3
RB,63,Dan Herron,IND,,,,,,2,2,3,3
RB,64,Alfred Blue,HOU,,,,,,1,2,3,3
RB,65,Jonas Gray,NE,,,,,,1,2,2,3
RB,66,Theo Riddick,DET,,,,,,1,2,2,3
RB,67,Mike Tolbert,CAR,,,,,,,2,2,3
RB,68,Jerick McKinnon,MIN,,,,,,,2,2,3
RB,69,Dexter McCluster,TEN,,,,,,,2,2,3
RB,70,James White,NE,,,,,,,1,2,3
RB,71,Lance Dunbar,DAL,,,,,,,1,2,2
RB,72,Bilal Powell,NYJ,,,,,,,,2,2
RB,73,Ronnie Hillman,DEN,,,,,,,,1,2
RB,74,Travaris Cadet,NE,,,,,,,,1,2
RB,75,Benny Cunningham,STL,,,,,,,,1,2
RB,76,Branden Oliver,SD,,,,,,,,1,2
RB,77,De'Anthony Thomas,KC,,,,,,,,1,2
RB,78,Robert Turbin,SEA,,,,,,,,1,2
RB,79,Matt Asiata,MIN,,,,,,,,,2
RB,80,Bobby Rainey,TB,,,,,,,,,2
RB,81,Khiry Robinson,NO,,,,,,,,,2
RB,82,Antone Smith,ATL,,,,,,,,,2
RB,83,Josh Robinson,IND,,,,,,,,,1
RB,84,Kenny Hilliard,HOU,,,,,,,,,1
RB,85,Cameron Artis-Payne,CAR,,,,,,,,,1
RB,86,Trent Richardson,OAK,,,,,,,,,1
RB,87,Marcel Reece,OAK,,,,,,,,,1
WR,1,Odell Beckham,NYG,42,48,50,49,49,51,51,50,48
WR,2,Antonio Brown,PIT,41,47,49,48,49,50,51,50,47
WR,3,Demaryius Thomas,DEN,38,45,47,46,47,49,49,49,46
WR,4,Dez Bryant,DAL,35,42,45,44,45,47,47,47,45
WR,5,Jordy Nelson,GB,28,36,39,39,40,43,43,43,41
WR,6,Julio Jones,ATL,27,35,38,39,40,42,43,43,41
WR,7,Calvin Johnson,DET,25,33,36,37,38,41,42,41,40
WR,8,A.J. Green,CIN,19,26,30,31,33,36,37,37,36
WR,9,Randall Cobb,GB,18,25,29,30,32,35,36,37,36
WR,10,Alshon Jeffery,CHI,15,22,26,27,30,32,34,34,34
WR,11,Mike Evans,TB,14,21,25,26,29,32,33,34,33
WR,12,T.Y. Hilton,IND,10,18,21,23,26,29,30,31,31
WR,13,Emmanuel Sanders,DEN,7,14,17,20,23,26,28,29,29
WR,14,DeAndre Hopkins,HOU,7,14,17,20,23,26,28,29,29
WR,15,Kelvin Benjamin,CAR,7,13,17,19,22,25,27,28,28
WR,16,Jordan Matthews,PHI,4,9,13,16,19,23,25,26,26
WR,17,Brandin Cooks,NO,3,8,12,15,18,22,24,25,25
WR,18,DeSean Jackson,WAS,2,6,11,14,17,21,23,24,25
WR,19,Andre Johnson,IND,1,5,9,12,16,20,22,23,24
WR,20,Sammy Watkins,BUF,,4,8,11,15,19,21,22,23
WR,21,Keenan Allen,SD,,4,7,11,15,18,21,22,23
WR,22,Amari Cooper,OAK,,4,7,11,15,18,21,22,23
WR,23,Julian Edelman,NE,,4,7,11,14,18,21,22,23
WR,24,Golden Tate,DET,,4,7,11,14,18,20,22,22
WR,25,Vincent Jackson,TB,,2,6,9,13,17,19,21,21
WR,26,Brandon Marshall,NYJ,,2,5,9,12,16,19,20,21
WR,27,Mike Wallace,MIN,,1,5,8,12,16,18,20,21
WR,28,Jeremy Maclin,KC,,1,4,7,11,15,17,19,20
