playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,
"2533031","null","Andrew Luck","QB","IND","QB","IND","64.8018","322.5589","115.84","20","1","1","null","null","14.1487","11.125","10.125","39.85","338.31","304.86","5.208","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","60.7594","318.5166","281.24","25","2","2","null","null","27.5955","13.0083","11.0083","42.3","337.6817","295.2267","5.4328","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","40.5467","298.3039","325.26","42","3","3","null","null","16.9113","36.5967","33.5967","25.225","318.605","285.48","3.9654","null",
"2501863","null","Peyton Manning","QB","DEN","QB","DEN","25.7811","283.5382","74.36","46","4","4","null","null","9.4705","31.8767","27.8767","22.525","300.7633","271.1833","3.3761","null",
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","23.3727","236.5816","87.2","2","5","16","null","null","2.3697","4.0883","-0.9117","52.1","269.9","210.14","9.3374","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","22.5405","235.7495","118.6","4","6","18","null","null","4.1427","3.605","-2.395","52.775","244.3","221.6","7.6162","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","21.4897","279.2469","291.2","53","7","5","null","null","12.0361","37.5833","30.5833","20.475","301.24","243.14","3.2313","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","19.4655","232.6744","78.1","3","8","20","null","null","3.5368","4.4033","-3.5967","52.5","251.6533","218.0533","6.2992","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","18.2144","222.1377","246.4","6","9","28","null","null","14.2551","8.0717","-0.9283","50.5","239.325","206.9","5.2159","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","17.3301","230.5391","227.7","1","10","21","null","null","9.202","2.8267","-7.1733","53.275","244.6","216.3","5.2686","null",
"2495663","null","Marshawn Lynch","RB","SEA","RB","SEA","14.5271","227.7361","67.7","5","11","23","null","null","14.5271","5.3567","-5.6433","52.175","255.397","206.9","4.4984","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","11.1314","268.8886","210.94","67","12","6","null","null","3.7173","59.19","47.19","12.3","287.5533","253.7333","3.6242","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","7.7758","265.533","196.42","59","13","7","null","null","2.4676","49.7083","36.7083","14.4","278.825","255.485","4.1592","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","7.0525","264.8097","375.08","84","14","8","null","null","4.8128","87.3583","73.3583","9.225","280.7","252.72","6.7533","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","5.4786","209.4018","160.4","11","15","32","null","null","5.4786","13.4233","-1.5767","45.1","222.6917","195.7917","5.5371","18",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","3.5639","261.3211","32.66","69","16","9","null","null","3.0477","62.4833","46.4833","10.375","271.7083","248.4483","3.3089","13",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","2.44","206.3632","58.1","7","17","36","null","null","5.0579","11.355","-5.645","47.2","219.15","191.7","5.3866","14",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","1.7291","214.938","114.3","9","18","29","null","null","7.4923","12.1167","-5.8833","42.675","233.5667","201.8","5.8033","15",
"2504211","null","Tom Brady","QB","NE","QB","NE","0.9154","258.6726","331.1","70","19","10","null","null","1.3731","61.025","42.025","11.125","283.5","205.7167","3.7444","10",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","0.1169","257.8741","239.42","72","20","11","null","null","6.136","86.99","66.99","7.5","277.78","241.795","3.6767","17",
"200","null","Red Bryant","DL","BUF","DL","BUF","null","0","4","null","1479","1479","null","null","0","null","null","0","0","0","null","null",
"208","null","Antoine Cason","DB","FA","DB","FA","null","0","null","null","1479","1479","null","null","0","170","-486","0","0","0","null","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","1479","1479","null","null","0","160.495","-496.505","0.25","0","0","-0.9135","null",
"218","null","Glenn Dorsey","DL","SF","DL","SF","null","40.8","17","null","706","692","null","null","0.4975","null","null","1","45.44","36.16","2.6372","null",
"224","null","Jo-Lonn Dunbar","LB","FA","LB","FA","null","0","8","null","1479","1479","null","null","0","277","-382","0","0","0","null","null",
"240","null","Quentin Groves","LB","BUF","LB","BUF","null","0","null","null","1479","1479","null","null","0","75","-585","1","0","0","null","null",
"270","null","Kendall Langford","DL","IND","DL","IND","null","29.825","47.5","null","707","813","null","null","0.55","223","-438","0","32.845","26.805","3.199","null",
"276","null","Chris Long","DL","STL","DL","STL","null","44.675","22","null","708","655","null","null","0.625","168.77","-493.23","1","50.215","39.135","3.1653","null",
"280","null","Dwight Lowery","DB","IND","DB","IND","null","71.445","94","null","1182","440","null","null","0.4917","170","-493","0.5","74.481","68.409","3.6006","null",
"302","null","Keith Rivers","LB","DAL","LB","DAL","null","1.05","null","null","948","1438","null","null","0.15","null","null","0","1.05","1.05","null","null",
"306","null","Dominique Rodgers-Cromartie","DB","NYG","DB","NYG","null","63.35","93","null","1183","502","null","null","0.24","215","-450","0.5","67.582","59.694","3.7171","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","52.0461","71.7","264","506","598","null","null","2.061","162.4567","-503.5433","0.5","67.28","40.38","3.3345","null",
"330","null","Philip Wheeler","LB","FA","LB","FA","null","0","29","null","1479","1479","null","null","0","null","null","0","0","0","null","null",
"729","null","Husain Abdullah","DB","KC","DB","KC","null","61.565","27.5","null","1184","514","null","null","0.8733","196.665","-471.335","0.5","66.177","56.953","2.4477","null",
"744","null","Calais Campbell","DL","ARI","DL","ARI","null","84.4283","66.5","null","709","324","null","null","1.4467","149.245","-519.755","3.2","86.12","82.748","4.9787","2",
"754","null","Brandon Flowers","DB","SD","DB","SD","null","78.0317","37","null","1185","373","null","null","0.17","178.665","-491.335","0.5","81.229","73.989","5.6175","15",
"764","null","Geno Hayes","LB","FA","LB","FA","null","0","null","null","1479","1479","null","null","0","170","-501","0","0","0","null","null",
"774","null","Curtis Lofton","LB","OAK","LB","OAK","null","100.2567","56.5","null","949","239","null","null","1.5917","144.67","-527.33","3","121.29","78.922","6.3155","6",
"776","null","Jerod Mayo","LB","NE","LB","NE","null","114.19","44","null","950","179","null","null","0.265","151.435","-521.565","2.85","128.182","99.43","4.143","41",
"786","null","Pat Sims","DL","CIN","DL","CIN","null","16.3","10","null","710","999","null","null","0.125","170","-504","0.5","16.3","16.3","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","25.0536","158.3","364","507","867","null","null","0.8612","157.6567","-517.3433","0.5","40.8658","12.64","2.7876","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","113.9738","61.9","68","508","181","null","null","13.6219","66.0317","-609.9683","7.625","117.3083","107.3083","5.0464","1",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","1479","1479","null","null","0","160.485","-516.515","0","0","0","null","null",
"1292","null","Charles Godfrey","DB","ATL","DB","ATL","null","65.8","14","null","1186","487","null","null","2.3067","302","-376","1","75.16","56.44","5.3106","null",
"1298","null","Leodis McKelvin","DB","BUF","DB","BUF","null","40.05","43.5","null","1187","700","null","null","1.525","190.335","-488.665","0.5","48.49","31.61","4.5518","null",
"1302","null","Aqib Talib","DB","DEN","DB","DEN","null","85.9783","76","null","1188","312","null","null","0.35","160.365","-519.635","3.6","89.925","80.653","3.3621","62",
"1330","null","Cliff Avril","DL","SEA","DL","SEA","null","44.325","68","null","711","660","null","null","0.5625","168.95","-512.05","0.5","45.305","43.345","4.2284","null",
