Year, Name,Year in League,Team,G,Rush ,Yds ,Y/G ,Avg ,TD ,Rec ,Tgt ,Yds ,Y/G ,Avg ,Lng ,YAC ,1stD ,TD ,Fum ,FumL ,TD,Year Since 300 Yard Season,G Deviation,Rush  Deviation,Yds  Deviation,Y/G  Deviation,Avg  Deviation,TD  Deviation
2010, Ryan Grant,4,GNB,1,8,45,45,5.6,0,0,0,0,0,N/A ,0,N/A ,0,0,0,0,0,2,-15,-274,-1208,-33.3,1.2,-11
2007, Deuce McAllister,5,NOR,3,24,92,30.7,3.8,0,4,5,15,5,3.8,7,4,0,0,1,1,0,4,-12,-220,-965,-39.8,-0.5,-10
2004, Stephen Davis,2,CAR,2,24,92,46,3.8,0,2,2,32,16,16,22,13.5,2,0,0,0,0,1,-12,-294,-1352,-57.1,-0.7,-8
2007, Ricky Williams,5,MIA,1,6,15,15,2.5,0,0,0,0,0,N/A ,N/A ,N/A ,0,0,1,1,0,4,-11,-162,-728,-46.9,-1.9,-6
2012, Ryan Grant,6,GNB,4,32,132,26.4,4.1,2,1,2,34,6.8,34,34,35,1,0,1,1,2,4,-11,-102,-427,-10.9,-0.1,0
2005, Ahman Green,3,GNB,5,77,255,51,3.3,0,19,27,147,29.4,7.7,20,8.1,7,0,1,0,0,2,-10,-182,-908,-26.5,-1.2,-7
2012, Cedric Benson,8,GNB,5,71,248,49.6,3.5,1,14,15,97,19.4,6.9,18,7.2,4,0,1,0,1,3,-10,-202,-819,-21.5,-0.4,-5
2013, Doug Martin,2,TAM,6,127,456,76,3.6,1,12,24,66,11,5.5,13,5.3,1,0,1,0,1,1,-10,-192,-998,-14.9,-1,-10
2012, Maurice Jones-Drew,7,JAC,6,86,414,69,4.8,1,14,18,86,14.3,6.1,13,5.4,3,1,1,0,2,3,-10,-257,-1192,-31.4,0.1,-7
2005, Deuce McAllister,3,NOR,5,93,335,67,3.6,3,17,18,117,23.4,6.9,22,6.2,4,0,0,0,3,2,-9,-176,-739,-9.7,-0.4,-6
2010, Marshawn Lynch,4,BUF,4,202,737,46.1,3.6,6,22,28,145,9.1,6.6,22,6.9,5,0,4,4,6,-2,-9,82,287,11.5,-0.2,4
