"projectionId","playerId","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","pass300","pass350","pass400","regTds","returnTds","dataScrapeId","analystId","pass40","rush40","sacks"
27800,2506363,559,368,191,65.8318,4584,36.3,8.9,44,263,1.4,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27801,2506340,533,333,200,62.4766,3799,23.3,10.7,48,231,0.8,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27802,2533031,617,383,234,62.0746,4707,35.8,15.4,73,289,3.3,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27803,2495143,506,324,182,64.0316,3694,23.7,17.3,63,186,2.3,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27804,2506109,595,376,219,63.1933,4701,30.3,14.3,8,26,0.7,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27805,2543477,564,334,230,59.2199,3779,18.8,17.5,44,352,1.7,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27806,81294,261,160,101,61.3027,2171,13.3,9,7,21,0.5,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27807,2495455,512,310,202,60.5469,3586,22.3,13.8,111,561,4.4,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27808,2505245,565,365,200,64.6018,4297,27,15.5,23,79,0.5,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27809,2495186,490,295,195,60.2041,3382,20.8,10.3,89,572,2.3,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27810,2543499,583,349,234,59.8628,3875,21.9,13.8,44,111,0.8,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27811,2504775,620,400,220,64.5161,4648,31.2,15.7,21,66,0.4,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27812,2505996,601,373,228,62.0632,4760,28.8,13.4,11,33,0.4,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27813,2539335,477,285,192,59.7484,3247,17.7,14.3,46,195,1.1,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27814,2552033,549,335,214,61.02,4083,23.5,16.9,17,86,0.8,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27815,2495824,568,364,204,64.0845,3978,27.4,19.3,36,194,0.7,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27816,2543801,123,84,39,68.2927,817,6.4,2.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27817,382,592,364,228,61.4865,4259,26.5,15,21,59,1.2,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27818,2505076,511,296,215,57.9256,3270,15.2,16.7,21,113,1.8,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27819,2532820,26,15,11,57.6923,206,1,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27820,2552466,531,319,212,60.0753,3578,18.6,17.5,68,355,2.1,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27821,79858,32,23,9,71.875,303,1.8,1,4,11,0.1,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27822,2506562,443,256,187,57.7878,2844,16.7,13.8,27,82,0.5,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27823,310,597,382,215,63.9866,4541,28.5,13.7,33,159,0.6,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27824,79860,591,360,231,60.9137,4248,25.1,12,33,107,2,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27825,2532842,541,330,211,60.9982,3832,22.7,16.2,48,219,1.9,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27826,2501863,581,376,205,64.716,4560,36.1,14,7,19,0.3,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27827,2506121,570,358,212,62.807,4268,31.3,15,18,61,0.2,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27828,2533033,524,342,182,65.2672,3922,19.7,14.6,68,335,1.4,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27829,2532975,486,311,175,63.9918,3790,25.7,9.6,89,589,3.6,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27830,2506581,46,29,17,63.0435,361,2,1.6,10,39,0.4,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27831,2495443,247,150,97,60.7287,1447,8.9,6,3,10,0.1,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27832,2532956,586,372,214,63.4812,4072,27.8,14.6,56,306,1.2,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27833,497095,553,343,210,62.0253,4029,23.3,13.2,28,79,0.5,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27834,2543465,532,346,186,65.0376,3954,23.6,15.2,46,245,1.3,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27835,2504211,472,293,179,62.0763,3268,25.6,8.7,15,45,0.5,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
27836,2505354,534,342,192,64.0449,4215,30.4,11.2,17,49,0.5,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA
31297,2506363,602.24,387.91,214.33,64.4112,4716.75,36.11,9.22,44.62,209.54,2.36,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31298,2506340,497.85,303.14,194.71,60.8898,3485.18,20.51,14.96,47.25,195.67,1.96,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31299,2533031,677.12,416.14,260.98,61.4574,4998.41,33.42,16.01,43.38,154.32,1.37,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31300,2495143,548.18,327.79,220.39,59.7961,3688.71,21.47,19.24,55.25,217.48,1.6,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31301,2533349,33.28,20.17,13.11,60.607,214.24,1.12,0.98,2.22,5.42,0.05,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31302,2506109,605.98,393.94,212.04,65.0088,4466.77,27.8,16.34,23.81,20.17,0.2,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31303,2495441,23.69,13.81,9.88,58.2946,164.33,1.08,0.35,2.74,7.48,0.07,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31304,2543477,558.33,318.9,239.43,57.1168,3338.17,16.07,18.91,44.07,195.24,1.7,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31305,2532970,27.79,16.47,11.32,59.2659,190.35,1.19,0.66,2.21,3.43,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31306,81294,479.36,278.85,200.51,58.1713,3200.37,16.7,13.59,31.04,79.37,0.66,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31307,2533436,16.98,9.75,7.23,57.4205,110.4,0.69,0.58,2.21,1.52,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31308,2495838,30.15,17.81,12.34,59.0713,204.26,1.25,1.06,2.24,5.95,0.05,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31309,2495455,518.29,309.68,208.61,59.7503,3701.76,20.64,14.71,96.75,510.61,4.34,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31310,2505245,550.93,334.73,216.2,60.7573,3777.24,22.33,13.12,39.96,152.22,1.12,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31311,2532888,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31312,252,34.5,19.23,15.27,55.7391,196.31,0.92,1.11,2.09,8.7,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31313,2532856,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31314,2495974,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31315,81284,28.81,15.97,12.84,55.4321,181.17,0.87,0.85,3.26,18.15,0.16,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31316,2495215,34.48,18.89,15.59,54.7854,198.03,0.88,1.12,2.49,11.01,0.05,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31317,2495186,515.38,305.63,209.75,59.3019,3491.07,17.27,15.84,88,436.13,2.64,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31318,497123,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31319,2550252,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31320,2506481,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31321,2506546,29.71,18.15,11.56,61.0905,230.02,1.45,0.71,3.03,8.98,0.11,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31322,2543499,598.46,341.78,256.68,57.1099,3673.89,18.98,18.35,27.65,69.38,0.48,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31323,2504775,654.25,435.46,218.79,66.5587,4952.44,34.94,13.45,38.27,128.28,1.76,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31324,2495748,36.19,20.37,15.82,56.2863,221.99,1.27,0.92,2.76,10.47,0.03,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31325,2505996,557.41,343.15,214.26,61.5615,3816.27,22.53,13.48,51.5,203.09,2.36,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31326,2539335,406.61,234.46,172.15,57.6621,2662.53,13.68,12.01,52.76,263.8,1.02,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31327,2552033,472.84,291.18,181.66,61.5811,3311.7,17.37,14.05,49,206.07,1.68,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31328,2495824,570.81,344.74,226.07,60.3949,3766.14,21.98,14.57,42.19,216.65,2.04,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31329,497108,31.1,17.79,13.31,57.2026,191.48,0.88,0.99,3.09,11.36,0.08,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31330,2543801,143.93,82.21,61.72,57.118,910.2,3.87,4.85,13.68,33.51,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31331,382,555.94,336.47,219.47,60.5227,3844.38,23.22,14.78,53.71,232.34,2.19,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31332,1037347,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31333,2543462,115.84,64.8,51.04,55.9392,679.4,3.32,4,11.96,39.68,0.4,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31334,79557,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31335,264,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31336,2505076,471.86,280.94,190.92,59.5389,3190.92,17.01,15.55,46.15,177.12,1.57,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31337,2506895,28.86,15.8,13.06,54.7471,163.07,0.76,1.17,1.11,-0.28,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31338,2532917,33.34,20.25,13.09,60.7379,228.27,1.35,0.96,2.39,7.31,0.14,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31339,2532820,36.8,22.26,14.54,60.4891,255.93,1.57,1.03,2.61,9.64,0.11,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31340,2539287,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31341,2543767,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31342,2506053,26.38,15.43,10.95,58.4913,177.48,1.21,0.94,2.22,5.24,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31343,2552466,539.08,329.02,210.06,61.0336,3700.95,18.98,16.43,58.34,252.1,1.53,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31344,79858,36.17,22.36,13.81,61.8192,281.72,1.61,1.23,2.16,2.2,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31345,2539308,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31346,2506562,502.55,289.21,213.34,57.5485,3166.83,17.26,15.54,28.83,67.55,0.46,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31347,2501078,15.51,10.65,4.86,68.6654,129.64,0.91,0.44,1.61,-0.51,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31348,2507282,13.13,8.37,4.76,63.7471,101.58,0.75,0.28,1.75,-0.16,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31349,310,673.41,442.12,231.29,65.6539,4926.2,33.2,16.53,28.2,84.44,0.86,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31350,2505982,27.53,16.18,11.35,58.7723,158.28,0.49,1.2,1.17,0.92,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31351,2534889,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31352,79860,682.17,406.12,276.05,59.5336,4654.84,28.88,17.59,39.2,122.35,1.06,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31353,2539275,33.31,19.53,13.78,58.631,216.86,1.26,0.84,3.2,15.54,0.08,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31354,497117,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31355,2532842,520.66,309.68,210.98,59.4784,3496.14,20.78,14.6,54.4,250.24,0.78,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31356,2501863,606.68,407.73,198.95,67.2068,4823.1,36.81,13.29,30.46,36.12,0.58,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31357,2506121,600.54,387.92,212.62,64.5952,4480.85,28.85,15.16,25.68,34,0.42,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
31358,2495233,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA
