"projectionId","playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","twoPts","rush100","rush150","rush200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
53157,2552477,3,9,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53158,2507164,293,1245,10.8,48,395,1.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53159,2543600,158,522,2.3,19,127,0.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53160,2533457,270,1163,6.8,18,144,0.4,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53161,2552374,123,503,2.7,58,425,1.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53162,2539217,217,777,4.1,53,387,1.9,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53163,2543565,114,393,3.9,7,48,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53164,497172,35,143,0.6,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53165,2495340,3,10,0.1,10,76,0.5,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53166,89798,51,310,2.7,17,136,1.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53167,79555,225,1137,7.3,43,362,1.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53168,2534437,6,19,0,4,23,0.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53169,2541544,41,164,1,33,268,0.9,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53170,2495328,44,195,1.1,25,180,1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53171,2543682,158,638,3.7,22,143,0.6,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53172,2534571,59,265,1.1,13,82,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53173,2550658,70,298,2.4,18,149,0.6,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53174,2532797,29,90,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53175,2495314,0,0,0,18,169,0.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53176,2534796,12,41,0.1,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53177,2540269,235,1079,7.9,45,310,2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53178,497204,94,375,2.7,68,581,2.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53179,2552375,11,40,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53180,2543743,239,1003,7.2,19,135,0.6,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53181,79629,14,43,0.3,3,18,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53182,2543770,99,309,3.3,37,265,0.7,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53183,2507999,189,817,5.6,20,126,0.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53184,2533037,42,167,1.4,3,18,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53185,2540011,4,19,0,7,41,0.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53186,2539322,62,294,0.6,3,19,0.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53187,2532851,5,19,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53188,2550512,46,148,1.3,16,102,0.6,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53189,2532864,57,246,1.9,17,165,0.4,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53190,4327,55,193,1.4,57,469,2.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53191,2507737,9,28,1.8,16,83,0.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53192,284,139,452,3.8,22,169,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53193,2506467,41,224,2,40,390,1.8,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53194,2552376,127,514,3.5,6,36,0.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53195,2553435,120,491,5.3,27,215,1.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53196,2495979,155,565,3.2,15,118,0.9,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53197,2495207,287,1279,7.7,27,195,0.9,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53198,2539260,96,440,1.8,25,208,0.4,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53199,2534871,0,0,0,6,38,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53200,2543583,154,570,4.1,38,272,1.4,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53201,497190,40,142,0.4,32,215,0.9,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53202,2507779,58,202,1.3,7,43,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53203,2532899,181,689,5.3,23,163,0.4,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53204,2543596,11,44,0.3,8,71,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53205,2552461,140,555,2.3,44,294,1.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53206,2540168,252,1106,9,46,436,2.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53207,2533540,6,19,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53208,496812,3,9,0,8,46,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53209,2550738,18,50,0.4,11,85,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53210,2540037,32,140,1,6,36,0.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53211,2506404,231,965,6.8,52,377,2.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53212,2506871,88,327,3.1,25,205,0.7,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53213,2541910,12,49,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53214,2540156,125,503,2.7,53,443,2.1,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53215,2550189,191,828,5.2,7,49,0.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
53216,2495471,22,84,0.6,7,40,0.3,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
