"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
35389,2534752,4,48,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35390,497258,26,229,1.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35391,2495835,11,107,0.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35392,2505299,57,704,8.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35393,2543683,49,531,3.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35394,2506122,28,279,2.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35395,89766,13,122,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35396,71431,9,85,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35397,2539645,3,36,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35398,2507218,27,303,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35399,2543721,12,127,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35400,2534244,3,40,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35401,2539202,10,95,0.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35402,2552397,14,155,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35403,2532838,40,494,4.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35404,2536071,8,114,1.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35405,2543794,15,213,1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35406,2506619,11,143,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35407,2495724,11,99,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35408,2540928,27,301,2.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35409,2495966,71,894,3.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35410,2541187,7,57,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35411,2534241,3,34,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35412,2540200,13,122,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35413,2533046,36,424,7.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35414,497224,8,72,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35415,2543466,40,425,2.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35416,497234,23,199,1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35417,1060,10,98,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35418,2540211,17,211,2.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35419,2552462,2,21,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35420,2495700,79,914,5.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35421,2506369,49,588,2.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35422,2543481,44,397,2.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35423,2540232,4,24,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35424,324,38,363,2.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35425,71247,6,68,0.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35426,71265,46,536,3.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35427,2505629,63,696,4.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35428,2507883,19,180,1.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
35429,2552633,2,24,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
