"","analystId","playerId","points_proj","positionId","points_act","subscription"
"1",-1,206,49.3,3,19.2,0
"2",-1,222,56.2,3,53.1,0
"3",-1,230,12.97,2,1.4,0
"4",-1,234,231.8,2,167.7,0
"5",-1,262,65,2,99.2,0
"6",-1,284,135.4,2,150.7,0
"7",-1,310,242.52,1,210.94,0
"8",-1,324,43.2,4,71.7,0
"9",-1,382,249.08,1,145.94,0
"10",-1,768,74.5,3,67.7,0
"11",-1,925,242.7,2,78.1,0
"12",-1,927,189.2,2,91.4,0
"13",-1,949,142.1,2,144.8,0
"14",-1,1060,39.8,4,158.3,0
"15",-1,1062,118.4,4,61.9,0
"16",-1,1581,118.25,3,76.8,0
"17",-1,1990,112.5,3,29.8,0
"18",-1,2346,97.2,3,113.7,0
"19",-1,2649,86.2,3,82.8,0
"20",-1,4327,73,2,163.1,0
"21",-1,4433,56.1,2,48.5,0
"22",-1,71217,81.529,3,86.1,0
"23",-1,71265,83.8,4,45.1,0
"24",-1,71269,83.5,3,146.2,0
"25",-1,71345,143.6,2,133.9,0
"26",-1,71431,29.8,4,12.7,0
"27",-1,79555,163.5,2,54,0
"28",-1,79589,13.7,4,-2.2,0
"29",-1,79607,172.6,2,142.7,0
"30",-1,79860,254.24,1,275.38,0
"31",-1,80425,90.5,3,27.8,0
"32",-1,80429,144.4,3,153.8,0
"33",-1,80670,64.7,3,19.8,0
"34",-1,81294,162.14,1,157.64,0
"35",-1,81306,28.9,3,11.9,0
"36",-1,81831,79.1,3,64.3,0
"37",-1,89766,25,4,12.7,0
"38",-1,163982,10.97,2,8.3,0
"39",-1,238498,169.15,3,108.2,0
"40",-1,497095,226.7,1,177.9,0
"41",-1,497145,158.9,2,83.7,0
"42",-1,497149,156.7,2,116.6,0
"43",-1,497176,37.2,2,6.7,0
"44",-1,497188,130.1,2,101.5,0
"45",-1,497190,70.1,2,56.7,0
"46",-1,497204,122.5,2,47.1,0
"47",-1,497206,67.2,2,120.3,0
"48",-1,497224,42.2,4,24.1,0
"49",-1,497226,40.8,4,6.1,0
"50",-1,497234,51.8,4,9,0
"51",-1,497236,138.7,4,72.5,0
"52",-1,497238,37,4,28.3,0
"53",-1,497240,182.3,4,183.6,0
"54",-1,497242,14.9,4,20.9,0
"55",-1,497258,44.9,4,3.1,0
"56",-1,497278,208.4,3,58.1,0
"57",-1,497282,57.1,3,44.7,0
"58",-1,497284,114.5,3,171.7,0
"59",-1,497302,73.2785,3,51.5,0
"60",-1,497312,12.3,3,4.3,0
"61",-1,497320,51.615,3,19.5,0
"62",-1,497322,177,3,146.5,0
"63",-1,497326,148.3,3,114.3,0
"64",-1,497328,212.2,3,160.4,0
"65",-1,2495139,62,4,70.8,0
"66",-1,2495143,194.54,1,235.2,0
"67",-1,2495158,91.6,3,50.7,0
"68",-1,2495161,99.6,2,17.4,0
"69",-1,2495186,240.46,1,102.2,0
"70",-1,2495187,62.1,4,36.5,0
"71",-1,2495189,35.9,3,27.2,0
"72",-1,2495207,200.4,2,138.4,0
"73",-1,2495240,246.22,1,261.2,0
"74",-1,2495258,13.78,2,24.4,0
"75",-1,2495267,98.3,4,56.6,0
"76",-1,2495288,71,4,23.3,0
"77",-1,2495314,39.23,2,20.9,0
"78",-1,2495328,58.7,2,88.1,0
"79",-1,2495340,23.98,2,3.4,0
"80",-1,2495341,60.4,3,57.4,0
"81",-1,2495347,32.4,4,13,0
"82",-1,2495353,86.9,4,75.5,0
"83",-1,2495438,87.3,4,79.5,0
"84",-1,2495448,188.296,3,118.9,0
"85",-1,2495450,168.3,3,186.7,0
"86",-1,2495453,69.4,3,44.1,0
"87",-1,2495454,188.1,3,232.1,0
"88",-1,2495455,280.9,1,375.08,0
"89",-1,2495459,90.5,3,90.3,0
"90",-1,2495466,166,2,150.4,0
"91",-1,2495470,46.3,2,8.8,0
"92",-1,2495471,60.9,2,5.1,0
"93",-1,2495473,100.6,2,99.5,0
"94",-1,2495558,94,3,5.3,0
"95",-1,2495573,54.5,4,49.9,0
"96",-1,2495647,183.2,3,172.4,0
"97",-1,2495651,47.8,3,0,0
"98",-1,2495663,261.2,2,67.7,0
"99",-1,2495700,127.3,4,149.4,0
"100",-1,2495802,37.4,3,11.9,0
"101",-1,2495821,130.5,3,76,0
"102",-1,2495824,249.94,1,208.46,0
"103",-1,2495825,67.6,4,69.7,0
"104",-1,2495826,68.1,4,39.5,0
"105",-1,2495835,40,4,40.9,0
"106",-1,2495867,97.9,3,26.8,0
"107",-1,2495888,45,4,22.6,0
"108",-1,2495893,129.9,3,228.2,0
"109",-1,2495966,81.3,4,148.4,0
"110",-1,2495979,39.3,2,187.4,0
"111",-1,2501863,287.51,1,74.36,0
"112",-1,2504211,263.42,1,331.1,0
"113",-1,2504521,83.3,3,68.7,0
"114",-1,2504595,119.6,3,85,0
"115",-1,2504775,275.22,1,291.2,0
"116",-1,2505076,179.26,1,118.16,0
"117",-1,2505245,226.1,1,296.24,0
"118",-1,2505299,70.2,4,93,0
"119",-1,2505354,259.58,1,32.66,0
"120",-1,2505551,135.5,3,74.3,0
"121",-1,2505587,127.2,3,99.9,0
"122",-1,2505629,104.2,4,86.3,0
"123",-1,2505785,111.6,3,71.1,0
"124",-1,2505996,236.29,1,269.54,0
"125",-1,2506004,77.7,3,66.5,0
"126",-1,2506106,104.6,3,169.5,0
"127",-1,2506109,261.9,1,196.42,0
"128",-1,2506121,219.82,1,265.48,0
"129",-1,2506122,64.9,4,115.5,0
"130",-1,2506147,21.6,2,20.4,0
"131",-1,2506313,60.6,3,89.8,0
"132",-1,2506340,214.5,1,260.24,0
"133",-1,2506363,295.76,1,281.24,0
"134",-1,2506366,125.2,3,56.6,0
"135",-1,2506369,84.4,4,65.7,0
"136",-1,2506400,129.3,3,72.3,0
"137",-1,2506404,135.6,2,156.4,0
"138",-1,2506467,109.9,2,94.5,0
"139",-1,2506581,66.84,1,268.2,0
"140",-1,2506619,43.1,4,6,0
"141",-1,2506871,24.5,2,44.7,0
"142",-1,2506874,106.8,2,4.7,0
"143",-1,2506897,36.45,3,0,0
"144",-1,2507164,213.9,2,227.7,0
"145",-1,2507166,77.45,3,133.9,0
"146",-1,2507182,62.1,4,1,0
"147",-1,2507183,76.2,3,137,0
"148",-1,2507218,52.4,4,57.8,0
"149",-1,2507428,63.1,2,65,0
"150",-1,2507486,38.5,4,7.8,0
"151",-1,2507737,42.23,2,3.2,0
"152",-1,2507763,127.5,3,59.3,0
"153",-1,2507883,67.5,4,7.7,0
"154",-1,2507999,135.6,2,170.7,0
"155",-1,2508061,219.65,3,246.4,0
"156",-1,2508096,27.86,2,0.4,0
"157",-1,2508097,107.35,3,24.6,0
"158",-1,2508112,40.1,4,3.3,0
"159",-1,2530515,50.5,3,57,0
"160",-1,2530660,59.9,3,121.4,0
"161",-1,2530747,116.6,3,190.9,0
"162",-1,2530763,20.3,2,23,0
"163",-1,2532797,90.3,2,50.7,0
"164",-1,2532820,130.8,1,275.44,0
"165",-1,2532835,41.3,4,18.4,0
"166",-1,2532838,88.7,4,67.1,0
"167",-1,2532841,127.9,3,120.9,0
"168",-1,2532842,183.7,1,82.08,0
"169",-1,2532853,63.1,4,66.9,0
"170",-1,2532865,162.15,3,142.4,0
"171",-1,2532884,88.85,3,105.6,0
"172",-1,2532887,78.05,3,98.5,0
"173",-1,2532899,123.4,2,194.3,0
"174",-1,2532933,88.1,3,10.2,0
"175",-1,2532956,247.38,1,239.42,0
"176",-1,2532975,299.14,1,325.26,0
"177",-1,2532977,110.7,3,58.8,0
"178",-1,2532978,86.75,3,41.2,0
"179",-1,2533031,314.94,1,115.84,0
"180",-1,2533034,177.5,2,183.9,0
"181",-1,2533037,22.5,2,56.3,0
"182",-1,2533039,162,3,104.7,0
"183",-1,2533040,69.7,3,39.4,0
