analystId,analystName,siteID,season,weekly,analystQryId,weight,analystCode
-1,"CBS Average",1,1,1,avg,0.4280,cbav
0,Accuscore,0,1,0,NULL,0.4280,acsc
1,"Jamey Eisenberg",1,0,0,jamey_eisenberg,0.4030,jaei
2,"Dave Richard",1,0,0,dave_richard,0.4120,dari
3,"Yahoo Sports",2,1,1,NULL,0.4330,yasp
4,ESPN,3,1,1,NULL,0.3830,essit
5,NFL,4,1,1,NULL,0.3840,nfla
6,"FOX Sports",5,1,1,NULL,0.4280,fosp
7,FFToday,6,1,1,NULL,0.4820,ffto
8,NumberFire,7,1,1,NULL,0.4040,numf
9,FantasyPros,8,0,1,NULL,0.5180,fapro
10,Dodds-Norton,9,0,1,0,0.4280,dono
11,"David Dodds",9,1,0,2,0.4730,dado
12,"Maurile Tremblay",9,1,1,53,0.4770,matr
13,"Mike Herman",9,1,1,60,0.4280,mihe
14,"Bob Henry",9,1,0,41,0.5210,bohe
15,"Jason Wood",9,1,0,50,0.5050,jawo
16,"Sigmund Bloom",9,0,1,107,0.4280,sibl
17,"EDS Football",10,1,1,NULL,0.4280,edfo
18,FantasySharks,11,1,1,NULL,0.4530,fash
19,FantasyFootballNerd,12,1,1,NULL,0.4280,ffne
20,WalterFootball,13,1,0,NULL,0.4280,wafo
22,"Aaron Rudnicki",9,1,0,40,0.4280,aaru
23,"John Norton",9,1,0,56,0.4280,jono
25,4for4,16,1,1,NULL,0.4280,4fo4
26,Rotowire,17,1,1,NULL,0.4280,rowi
27,RTSports.com,18,1,0,NULL,0.4280,rtsp
