"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk"
"Aaron Rodgers","QB","GB",1,1,4497.9,38.5,9.6,275.2,2.6,NA,NA,NA,NA,3.2,44,3.58432357725437
"Drew Brees","QB","NO",2,2,5133.7,41.2,16.6,36.2,1,NA,NA,NA,NA,3.1,43,3.42003622533542
"Cam Newton","QB","CAR",3,3,3892.8,21.2,13,701.5,7,NA,NA,NA,NA,3.6,33,4.73714403457764
"Peyton Manning","QB","DEN",4,4,4845.1,38.3,12.5,13.4,0.2,NA,NA,NA,NA,2.4,36,4.01961276211582
"Tom Brady","QB","NE",5,5,4511.1,32.5,10.7,56.1,2.3,NA,NA,NA,NA,2.1,37,5.80119575339494
"Matt Ryan","QB","ATL",6,6,4765.6,32.3,13.3,97.1,0.8,NA,NA,NA,NA,3.3,21,5.51188029974633
"Colin Kaepernick","QB","SF",7,7,3730.9,20.9,11.3,679.6,5.6,NA,NA,NA,NA,5.6,24,3.6333066321911
"Andrew Luck","QB","IND",8,8,4394.4,27,13.5,260.1,2.8,NA,NA,NA,NA,4.5,20,6.28515565482415
"Russell Wilson","QB","SEA",9,9,3576.1,26.1,11.5,496,3.8,NA,NA,NA,NA,4,21,3.83307019010259
"Matthew Stafford","QB","DET",10,10,4888.6,28.6,16,94.9,1.3,NA,NA,NA,NA,3.6,13,4.80761342418435
"Robert Griffin III","QB","WAS",11,11,3315.9,21.8,8.4,595.1,5.2,NA,NA,NA,NA,5.6,17,4.80643822533327
"Tony Romo","QB","DAL",12,12,4737.9,28.9,15.1,49.6,0.8,NA,NA,NA,NA,3.5,12,4.70781350858804
"Adrian Peterson","RB","MIN",13,1,NA,NA,NA,1665,12.8,38.5,274.1,1.4,NA,2.5,63,2.50565307600699
"Arian Foster","RB","HOU",14,2,NA,NA,NA,1352.4,13.2,44.2,371.7,2,NA,2.2,63,5.82423949275987
"Eli Manning","QB","NYG",15,13,4220.4,28.5,15.1,34.5,0.3,NA,NA,NA,NA,3.6,8,4.82791760384839
"Andy Dalton","QB","CIN",16,14,3889.6,26.5,15.9,148.6,1.1,NA,NA,NA,NA,3.5,6,5.57738981944736
"Doug Martin","RB","TB",17,3,NA,NA,NA,1340,9.4,52.5,429.5,1.4,NA,1,53,2.79985203376749
"Josh Freeman","QB","TB",18,15,3964.9,25.3,16.4,174.2,0.5,NA,NA,NA,NA,4.3,4,5.4987504015708
"Jamaal Charles","RB","KC",19,4,NA,NA,NA,1435.7,6.8,55.3,454.2,2.1,NA,2.2,51,2.88831872273427
"Ben Roethlisberger","QB","PIT",20,16,3732.3,23.8,10.6,93.7,1.4,NA,NA,NA,NA,3.8,5,4.94359694151519
"Philip Rivers","QB","SD",21,17,4148,26,16.9,45.4,0.1,NA,NA,NA,NA,5,2,4.22477569879575
"Michael Vick","QB","PHI",22,18,3141.6,19,12.7,477.3,2.7,NA,NA,NA,NA,4.8,7,7.34177920658556
"Joe Flacco","QB","BAL",23,19,3984.3,23.6,13.2,60.4,1.1,NA,NA,NA,NA,4.9,4,4.49204573320473
"Marshawn Lynch","RB","SEA",24,5,NA,NA,NA,1422.4,11.4,24.5,193.9,0.8,NA,2.6,57,2.88329854440441
"C.J. Spiller","RB","BUF",25,6,NA,NA,NA,1378.7,7,44.6,397.4,2.3,NA,2.6,47,2.54958751742137
"Matt Schaub","QB","HOU",26,20,4072.9,23.4,12.6,17.5,0.2,NA,NA,NA,NA,3.4,2,5.40812198303411
"Jay Cutler","QB","CHI",27,21,3749.9,23.4,14.9,167.6,0.8,NA,NA,NA,NA,4.7,1,7.05461206658634
"Calvin Johnson","WR","DET",28,1,NA,NA,NA,5.8,0,104.6,1653.5,10.2,NA,1.3,49,4.33387652986008
"Trent Richardson","RB","CLE",29,7,NA,NA,NA,1210.3,9.8,48.9,372.4,1.3,NA,1.3,47,3.13444177037988
"Sam Bradford","QB","STL",30,22,3840.8,22.8,13.8,91.1,0.6,NA,NA,NA,NA,4.3,2,5.74172191052712
"Ray Rice","RB","BAL",31,8,NA,NA,NA,1153,7.8,62.1,492.6,2.1,NA,1.6,55,2.56003216855345
"Carson Palmer","QB","ARI",32,23,4076.5,23.5,16.9,31.6,0.2,NA,NA,NA,NA,4.5,2,3.8128682457784
"Alex Smith","QB","KC",33,24,3647.4,20.5,11.6,145.9,0.9,NA,NA,NA,NA,3.6,2,8.37788446737485
"Ryan Tannehill","QB","MIA",34,25,3684.1,19.3,14,195.1,1.4,NA,NA,NA,NA,4,1,11.3492088572857
"LeSean McCoy","RB","PHI",35,9,NA,NA,NA,1177.4,8,52.6,392.5,2.3,NA,2.1,46,3.23221048886825
